Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
O13759	reviewed	CSX1_SCHPO	RNA-binding post-transcriptional regulator csx1	csx1 SPAC17A2.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	632	csx1	284812
O27026	reviewed	CAPPA_METTH	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppcA MTH_943	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	483	ppcA	187420
O35783	reviewed	CALU_RAT	Calumenin (CBP-50) (Crocalbin)	Calu	Rattus norvegicus (Rat)	315	Calu	10116
O43852	reviewed	CALU_HUMAN	Calumenin (Crocalbin) (IEF SSP 9302)	CALU	Homo sapiens (Human)	315	CALU	9606
O64722	reviewed	ZHD3_ARATH	Zinc-finger homeodomain protein 3 (AtZHD3) (Homeobox protein 21) (AtHB-21) (Zinc finger homeodomain transcription factor 4)	ZHD3 HB21 ZFHD4 At2g02540 T8K22.16	Arabidopsis thaliana (Mouse-ear cress)	310	ZHD3	3702
O85040	reviewed	RBL1_HALNC	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39) (Form 1 RuBisCO)	cbbL Hneap_0922	Halothiobacillus neapolitanus (strain ATCC 23641 / c2) (Thiobacillus neapolitanus)	473	cbbL	555778
O85041	reviewed	CSOS2_HALNC	Carboxysome assembly protein CsoS2B (Carboxysome shell protein CsoS2B)	csoS2 Hneap_0920	Halothiobacillus neapolitanus (strain ATCC 23641 / c2) (Thiobacillus neapolitanus)	869	csoS2	555778
O85042	reviewed	CSOCA_HALNC	Carboxysome shell carbonic anhydrase (CsoSCA) (EC 4.2.1.1) (Carbonic anhydrase) (CA) (Carboxysome shell protein CsoS3)	csoS3 ORF1 Hneap_0919	Halothiobacillus neapolitanus (strain ATCC 23641 / c2) (Thiobacillus neapolitanus)	514	csoS3	555778
O88496	reviewed	VKGC_RAT	Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)	Ggcx	Rattus norvegicus (Rat)	758	Ggcx	10116
O93627	reviewed	RBL_THEKO	Ribulose bisphosphate carboxylase (RuBisCO) (EC 4.1.1.39)	rbcL rbc TK2290	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	444	rbcL	69014
P00734	reviewed	THRB_HUMAN	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Homo sapiens (Human)	622	F2	9606
P00735	reviewed	THRB_BOVIN	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Bos taurus (Bovine)	625	F2	9913
P00740	reviewed	FA9_HUMAN	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9	Homo sapiens (Human)	461	F9	9606
P00864	reviewed	CAPP_ECOLI	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc glu b3956 JW3928	Escherichia coli (strain K12)	883	ppc	83333
P00875	reviewed	RBL_SPIOL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Spinacia oleracea (Spinach)	475	rbcL	3562
P00876	reviewed	RBL_TOBAC	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL rbcA	Nicotiana tabacum (Common tobacco)	477	rbcL	4097
P00877	reviewed	RBL_CHLRE	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Chlamydomonas reinhardtii (Chlamydomonas smithii)	475	rbcL	3055
P00879	reviewed	RBL_NOSS1	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbc rbcA rbcL alr1524	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	476	cbbL	103690
P00880	reviewed	RBL_SYNP6	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcA rbcL syc0130_c	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans)	472	cbbL	269084
P04711	reviewed	CAPP1_MAIZE	Phosphoenolpyruvate carboxylase 1 (PEPC 1) (PEPCase 1) (EC 4.1.1.31)	PEP1 PPC	Zea mays (Maize)	970	PEP1	4577
P04717	reviewed	RBL_PEA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Pisum sativum (Garden pea) (Lathyrus oleraceus)	475	rbcL	3888
P04718	reviewed	RBL2_RHORU	Ribulose bisphosphate carboxylase (RuBisCO) (EC 4.1.1.39)	cbbM cbbL2 rbpL	Rhodospirillum rubrum	466	cbbM	1085
P04992	reviewed	RBL_PETHY	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Petunia hybrida (Petunia)	477	rbcL	4102
P05165	reviewed	PCCA_HUMAN	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	PCCA	Homo sapiens (Human)	728	PCCA	9606
P05166	reviewed	PCCB_HUMAN	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	PCCB	Homo sapiens (Human)	539	PCCB	9606
P06292	reviewed	RBL_MARPO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Marchantia polymorpha (Common liverwort) (Marchantia aquatica)	475	rbcL	3197
P06709	reviewed	BIRA_ECOLI	Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA bioR dhbB b3973 JW3941	Escherichia coli (strain K12)	321	birA	83333
P07231	reviewed	CKG_CONGE	Conantokin-G (Con-G) (CGX-1007) (Conotoxin GV) (Sleeper peptide)		Conus geographus (Geography cone) (Nubecula geographus)	100		6491
P08494	reviewed	MGP_RAT	Matrix Gla protein (MGP)	Mgp	Rattus norvegicus (Rat)	103	Mgp	10116
P09029	reviewed	PURK_ECOLI	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK b0522 JW0511	Escherichia coli (strain K12)	355	purK	83333
P09144	reviewed	PSAB_CHLRE	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB ps1a2	Chlamydomonas reinhardtii (Chlamydomonas smithii)	735	psaB	3055
P0A2X8	reviewed	ARCC1_ENTFC	Carbamate kinase 1 (EC 2.7.2.2)	arcC1 arcC arcC-1	Enterococcus faecium (Streptococcus faecium)	310	arcC1	1352
P0A6F5	reviewed	CH60_ECOLI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60) (GroEL protein)	groEL groL mopA b4143 JW4103	Escherichia coli (strain K12)	548	groEL	83333
P0A6F9	reviewed	CH10_ECOLI	Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)	groES groS mopB b4142 JW4102	Escherichia coli (strain K12)	97	groES	83333
P0A9Q5	reviewed	ACCD_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD dedB usg b2316 JW2313	Escherichia coli (strain K12)	304	accD	83333
P0ABD5	reviewed	ACCA_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA b0185 JW0180	Escherichia coli (strain K12)	319	accA	83333
P0ABD8	reviewed	BCCP_ECOLI	Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	accB fabE b3255 JW3223	Escherichia coli (strain K12)	156	accB	83333
P0AG18	reviewed	PURE_ECOLI	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE b0523 JW0512	Escherichia coli (strain K12)	169	purE	83333
P0C2C2	reviewed	RBL1C_CUPNE	Ribulose bisphosphate carboxylase large chain, chromosomal (RuBisCO large subunit) (EC 4.1.1.39)	cbbL1 cbbL cbxLC cfxLC	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)	486	cbbL1	106590
P0C511	reviewed	RBL_ORYSI	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL 9311063	Oryza sativa subsp. indica (Rice)	477	rbcL	39946
P0C512	reviewed	RBL_ORYSJ	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL LOC_Osp1g00420 Nip064	Oryza sativa subsp. japonica (Rice)	477	rbcL	39947
P0DTA4	reviewed	PCCA_PIG	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	PCCA	Sus scrofa (Pig)	730	PCCA	9823
P0DTV7	reviewed	SPEFL_ECOLI	Leader peptide SpeFL (Arrest peptide SpeFL)	speFL b4803	Escherichia coli (strain K12)	34	speFL	83333
P10443	reviewed	DPO3A_ECOLI	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE polC b0184 JW0179	Escherichia coli (strain K12)	1160	dnaE	83333
P10795	reviewed	RBS1A_ARATH	Ribulose bisphosphate carboxylase small subunit 1A, chloroplastic (RuBisCO small subunit 1A)	RBCS-1A ATS1A At1g67090 F1O19.14 F5A8.1	Arabidopsis thaliana (Mouse-ear cress)	180	RBCS-1A	3702
P10896	reviewed	RCA_ARATH	Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic (RA) (RuBisCO activase)	RCA At2g39730 T5I7.3	Arabidopsis thaliana (Mouse-ear cress)	474	RCA	3702
P11029	reviewed	ACAC_CHICK	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACAC	Gallus gallus (Chicken)	2324	ACAC	9031
P11154	reviewed	PYC1_YEAST	Pyruvate carboxylase 1 (EC 6.4.1.1) (Pyruvic carboxylase 1) (PCB 1)	PYC1 PYV YGL062W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1178	PYC1	559292
P11383	reviewed	RBL_WHEAT	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Triticum aestivum (Wheat)	477	rbcL	4565
P11497	reviewed	ACACA_RAT	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (ACC-alpha)	Acaca Acac	Rattus norvegicus (Rat)	2345	Acaca	10116
P11498	reviewed	PYC_HUMAN	Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)	PC	Homo sapiens (Human)	1178	PC	9606
P13000	reviewed	BIOD1_ECOLI	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	225	bioD1	83333
P14712	reviewed	PHYA_ARATH	Phytochrome A (Protein ELONGATED HYPOCOTYL 8) (Protein FAR RED ELONGATED 1) (Protein FAR RED ELONGATED HYPOCOTYL 2)	PHYA FHY2 FRE1 HY8 At1g09570 F14J9.23	Arabidopsis thaliana (Mouse-ear cress)	1122	PHYA	3702
P14713	reviewed	PHYB_ARATH	Phytochrome B (Protein LONG HYPOCOTYL 3) (Protein OUT OF PHASE 1)	PHYB HY3 OOP1 At2g18790 MSF3.17	Arabidopsis thaliana (Mouse-ear cress)	1172	PHYB	3702
P14882	reviewed	PCCA_RAT	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	Pcca	Rattus norvegicus (Rat)	737	Pcca	10116
P16243	reviewed	MAOC_MAIZE	NADP-dependent malic enzyme, chloroplastic (NADP-ME) (EC 1.1.1.40)	MOD1 ME1	Zea mays (Maize)	636	MOD1	4577
P16580	reviewed	GLNA_CHICK	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate decarboxylase) (EC 4.1.1.15) (Glutamate--ammonia ligase) (p42)	GLUL GLNS	Gallus gallus (Chicken)	373	GLUL	9031
P18292	reviewed	THRB_RAT	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Rattus norvegicus (Rat)	617	F2	10116
P18823	reviewed	ACCD_PEA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD ycf11 zfpA	Pisum sativum (Garden pea) (Lathyrus oleraceus)	590	accD	3888
P19221	reviewed	THRB_MOUSE	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2 Cf2	Mus musculus (Mouse)	618	F2	10090
P21238	reviewed	CPNA1_ARATH	Chaperonin 60 subunit alpha 1, chloroplastic (CPN-60 alpha 1) (Protein SCHLEPPERLESS) (RuBisCO large subunit-binding protein subunit alpha 1)	CPN60A1 Cpn60-A(2) SLP At2g28000 T1E2.8	Arabidopsis thaliana (Mouse-ear cress)	586	CPN60A1	3702
P21240	reviewed	CPNB1_ARATH	Chaperonin 60 subunit beta 1, chloroplastic (CPN-60 beta 1) (60 kDa chaperonin subunit beta 1) (RuBisCO large subunit-binding protein subunit beta, chloroplastic)	CPN60B1 Cpn60-B(3) LEN1 At1g55490 T5A14.11	Arabidopsis thaliana (Mouse-ear cress)	600	CPN60B1	3702
P22033	reviewed	MUTA_HUMAN	Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)	MMUT MUT	Homo sapiens (Human)	750	MMUT	9606
P22234	reviewed	PUR6_HUMAN	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)]	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	425	PAICS	9606
P22849	reviewed	RBL1A_ALLVD	Ribulose bisphosphate carboxylase large chain 1 (RuBisCO large subunit 1) (EC 4.1.1.39)	cbbL1 rbcA Alvin_1365	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum)	472	cbbL1	572477
P22859	reviewed	RBL1B_ALLVD	Ribulose bisphosphate carboxylase large chain 2 (RuBisCO large subunit 2) (EC 4.1.1.39)	cbbL2 rbcL Alvin_2750	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum)	471	cbbL2	572477
P24182	reviewed	ACCC_ECOLI	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)	accC fabG b3256 JW3224	Escherichia coli (strain K12)	449	accC	83333
P25079	reviewed	RBL_SOLTU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Solanum tuberosum (Potato)	477	rbcL	4113
P25848	reviewed	PHY1_CERPU	Light-sensor Protein kinase [Includes: Phytochrome; Protein kinase (EC 2.7.11.1)]	PHY1 PHY	Ceratodon purpureus (Fire moss) (Dicranum purpureum)	1307	PHY1	3225
P26526	reviewed	ATPA_CHLRE	ATP synthase subunit alpha, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA	Chlamydomonas reinhardtii (Chlamydomonas smithii)	508	atpA	3055
P27064	reviewed	RBL_CUCSA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL CsCp048	Cucumis sativus (Cucumber)	475	rbcL	3659
P27065	reviewed	RBL_SOLLC	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	477	rbcL	4081
P27066	reviewed	RBL_SOYBN	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Glycine max (Soybean) (Glycine hispida)	475	rbcL	3847
P27134	reviewed	CYNT_SYNE7	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	ccaA icfA Synpcc7942_1447	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	272	ccaA	1140
P30694	reviewed	CAPPA_FLATR	C4 phosphoenolpyruvate carboxylase (C4 PEPC) (C4 PEPCase) (ppcA) (EC 4.1.1.31) (Photosynthetic PEPCase)	PPCA	Flaveria trinervia (Clustered yellowtops) (Oedera trinervia)	966	PPCA	4227
P32327	reviewed	PYC2_YEAST	Pyruvate carboxylase 2 (EC 6.4.1.1) (Pyruvic carboxylase 2) (PCB 2)	PYC2 YBR218C YBR1507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1180	PYC2	559292
P32528	reviewed	DUR1_YEAST	Urea amidolyase [Includes: Urea carboxylase (EC 6.3.4.6); Allophanate hydrolase (EC 3.5.1.54)]	DUR1,2 YBR208C YBR1448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1835	DUR1,2	559292
P32874	reviewed	HFA1_YEAST	Acetyl-CoA carboxylase, mitochondrial (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	HFA1 YMR207C YM8261.01C YM8325.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2273	HFA1	559292
P34077	reviewed	NIC96_YEAST	Nucleoporin NIC96 (96 kDa nucleoporin-interacting component) (Nuclear pore protein NIC96)	NIC96 YFR002W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	839	NIC96	559292
P35433	reviewed	PUR1_RAT	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPAT)	Ppat	Rattus norvegicus (Rat)	517	Ppat	10116
P35729	reviewed	NU120_YEAST	Nucleoporin NUP120 (Nuclear pore protein NUP120)	NUP120 RAT2 YKL057C YKL313 YKL314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1037	NUP120	559292
P36161	reviewed	NU133_YEAST	Nucleoporin NUP133 (Nuclear pore protein NUP133)	NUP133 RAT3 YKR082W YKR402	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1157	NUP133	559292
P38398	reviewed	BRCA1_HUMAN	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863	BRCA1	9606
P38435	reviewed	VKGC_HUMAN	Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)	GGCX GC	Homo sapiens (Human)	758	GGCX	9606
P42737	reviewed	BCA2_ARATH	Beta carbonic anhydrase 2, chloroplastic (AtbCA2) (AtbetaCA2) (EC 4.2.1.1) (Beta carbonate dehydratase 2)	BCA2 CA18 CA2 At5g14740 T9L3.40	Arabidopsis thaliana (Mouse-ear cress)	331	BCA2	3702
P43251	reviewed	BTD_HUMAN	Biotinidase (Biotinase) (EC 3.5.1.12)	BTD	Homo sapiens (Human)	543	BTD	9606
P43341	reviewed	LPXH_ECOLI	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase) (UDP-2,3-diacylglucosamine pyrophosphatase)	lpxH ybbF b0524 JW0513	Escherichia coli (strain K12)	240	lpxH	83333
P45689	reviewed	CSOSA_HALNC	Major carboxysome shell protein CsoS1A	csoS1A csoS1 Hneap_0915	Halothiobacillus neapolitanus (strain ATCC 23641 / c2) (Thiobacillus neapolitanus)	98	csoS1A	555778
P46204	reviewed	CCMN_SYNE7	Carboxysome assembly protein CcmN (Carbon dioxide concentrating mechanism protein CcmN) (ORF I)	ccmN Synpcc7942_1424	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	161	ccmN	1140
P46673	reviewed	NUP85_YEAST	Nucleoporin NUP85 (Nuclear pore protein NUP85)	NUP85 RAT9 YJR042W J1624	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	744	NUP85	559292
P47016	reviewed	NIT2_YEAST	Deaminated glutathione amidase (dGSH amidase) (EC 3.5.1.128) (Nitrilase homolog 1)	NIT2 YJL126W J0706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307	NIT2	559292
P48445	reviewed	BPL1_YEAST	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	BPL1 ACC2 YDL141W D2140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	690	BPL1	559292
P48754	reviewed	BRCA1_MOUSE	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Brca1	Mus musculus (Mouse)	1812	Brca1	10090
P50244	reviewed	DCAMC_TRYBB	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]		Trypanosoma brucei brucei	370		5702
P50747	reviewed	BPL1_HUMAN	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	HLCS	Homo sapiens (Human)	726	HLCS	9606
