PROTID	GENEID	PROTLEN	cGFP_C1_6h_BioID_1_SPC	cGFP_C1_6h_BioID_2_SPC	cGFP_C1_6h_BioID_3_SPC	cGFP_C2_6h_BioID_1_SPC	cGFP_C2_6h_BioID_2_SPC	cGFP_C2_6h_BioID_3_SPC	cGFP_C3_6h_BioID_1_SPC	cGFP_C3_6h_BioID_2_SPC	cGFP_C3_6h_BioID_3_SPC	cGFP_C4_6h_BioID_1_SPC	cGFP_C4_6h_BioID_2_SPC	cGFP_C4_6h_BioID_3_SPC	cGFP_C5_6h_BioID_1_SPC	cGFP_C5_6h_BioID_2_SPC	cGFP_C5_6h_BioID_3_SPC	cGFP_N1_6h_BioID_1_SPC	cGFP_N1_6h_BioID_2_SPC	cGFP_N1_6h_BioID_3_SPC	cGFP_N2_6h_BioID_1_SPC	cGFP_N2_6h_BioID_2_SPC	cGFP_N2_6h_BioID_3_SPC	cGFP_N3_6h_BioID_1_SPC	cGFP_N3_6h_BioID_2_SPC	cGFP_N3_6h_BioID_3_SPC	cGFP_N4_6h_BioID_1_SPC	cGFP_N4_6h_BioID_2_SPC	cGFP_N4_6h_BioID_3_SPC
A4D1U4	DENND11	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
A5PLN9	TRAPPC13	417	4	2	4	0	0	2	1	1	1	8	10	4	2	1	2	7	6	10	7	10	7	5	10	7	7	8	5
A5YKK6	CNOT1	2376	20	18	17	16	25	19	19	20	21	27	22	28	26	26	21	58	75	67	49	33	42	45	43	46	38	41	33
A6H8Y1	BDP1	2624	1	3	1	1	2	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
A6NCE7	MAP1LC3B2	125	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6ND36	FAM83G	823	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	4	3	1	1	1	2	1	2	1	0	0	0
A6NDG6	PGP	321	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
A6NDU8	RIMOC1	294	8	7	8	4	4	7	7	6	5	7	5	6	7	6	4	2	4	1	3	1	1	1	0	2	4	2	1
A6NFI3	ZNF316	1004	0	0	0	3	3	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
A6NHL2	TUBAL3	446	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	4	4	3	3	2	2	1	1	2	1	3	2
A6NHQ4	EPOP	379	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NHR9	SMCHD1	2005	21	21	24	41	30	15	21	13	21	13	12	17	15	8	14	23	17	21	19	24	24	26	28	22	16	15	28
A6NHX0	CASTOR2	329	2	2	4	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NIH7	UNC119B	251	1	1	2	1	1	0	1	1	2	0	2	0	1	2	0	3	1	2	0	0	0	0	0	0	0	0	0
A6NKD9	CCDC85C	419	9	12	6	7	5	11	8	11	10	17	15	18	16	17	21	20	21	24	10	9	7	9	12	14	11	12	9
A6QL63	ABTB3	1104	6	6	4	1	2	4	3	4	2	1	0	2	2	4	4	0	0	0	0	0	0	0	0	0	0	0	1
A7E2V4	ZSWIM8	1837	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0
A7KAX9	ARHGAP32	2087	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1
A7MCY6	TBKBP1	615	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1	6	7	7	1	1	0	2	0	0	0	0	0
A8CG34	POM121C	1229	0	0	0	5	2	0	2	0	2	0	0	0	0	1	0	1	1	2	3	5	5	1	2	1	0	1	1
A8K0R7	ZNF839	811	1	2	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8K855	EFCAB7	629	0	4	3	1	0	3	2	2	1	4	2	5	3	8	7	0	1	1	0	0	0	2	0	0	3	1	1
A8MTY0	ZNF724	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
A8MVW0	FAM171A2	826	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	1	1	4	1	2	0	1	0
A8MW92	PHF20L1	1017	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
A8MWD9	SNRPGP15	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	3	1
A8MWY0	ELAPOR2	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A8MXV4	NUDT19	375	12	11	10	12	9	10	8	9	9	10	11	10	11	12	12	13	10	11	12	9	7	9	7	7	13	9	6
A9UHW6	MIF4GD	222	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
B2RTY4	MYO9A	2548	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	1
B3KU38	IQCJ-SCHIP1	563	3	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
B7ZAP0	RABGAP1L	253	2	3	4	1	1	2	1	1	2	3	1	3	5	5	2	1	1	0	0	0	0	0	0	0	0	0	0
C4AMC7	WASH3P	463	3	1	1	1	0	6	0	2	4	2	3	3	3	5	2	6	6	5	4	7	5	4	5	6	5	6	5
C9JLW8	MCRIP1	97	4	4	3	0	1	5	4	4	3	8	7	10	11	7	7	10	10	14	12	13	13	11	14	15	14	18	18
E9PAV3	NACA	2078	18	13	14	10	11	9	8	12	11	15	19	15	15	17	15	20	21	15	40	29	33	34	26	25	20	22	32
E9PRG8	C11orf98	123	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1
G9CGD6	CNK3/IPCEF1	899	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L0R819	ASDURF	96	3	3	3	4	5	3	5	3	5	6	4	5	6	3	5	8	6	7	7	11	8	9	7	7	8	8	9
O00116	AGPS	658	2	2	4	0	0	1	1	0	5	10	9	4	4	5	2	13	2	4	0	0	1	1	1	16	15	19	4
O00139	KIF2A	706	6	7	9	6	5	6	5	7	5	9	7	7	9	8	7	10	7	6	5	5	7	4	4	6	5	3	6
O00148	DDX39A	427	10	10	10	10	8	10	10	8	11	12	12	13	9	9	13	14	14	14	17	15	18	20	16	16	18	15	15
O00151	PDLIM1	329	47	46	51	30	31	40	37	41	41	49	37	47	60	58	45	38	44	37	40	35	37	27	30	29	35	31	33
O00154	ACOT7	380	2	1	1	1	1	1	1	2	1	1	5	1	1	1	1	2	1	1	0	0	1	0	0	1	3	2	1
O00159	MYO1C	1063	2	2	1	0	0	4	1	1	1	1	0	1	2	3	4	2	0	2	2	0	0	1	0	2	1	1	0
O00161	SNAP23	211	11	11	13	12	10	26	19	23	26	14	13	16	19	14	20	27	32	37	39	35	42	32	51	57	46	52	54
O00165	HAX1	279	0	0	1	1	0	0	1	1	1	1	0	0	2	0	1	4	5	4	2	5	5	2	4	6	4	6	5
O00170	AIP	330	4	8	6	6	6	11	8	7	11	8	8	8	11	10	13	26	27	31	35	33	34	27	36	32	32	34	33
O00178	GTPBP1	669	13	7	11	6	5	5	8	10	6	16	11	10	9	8	8	11	13	13	6	8	9	11	13	6	8	12	10
O00186	STXBP3	592	10	8	8	3	4	16	11	14	17	13	8	13	14	12	10	12	9	5	6	8	6	6	6	6	7	5	11
O00189	AP4M1	453	0	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
O00193	SMAP	183	5	17	7	13	10	12	13	7	19	0	5	0	1	0	1	2	3	2	7	8	6	4	4	2	2	4	4
O00194	RAB27B	218	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00203	AP3B1	1094	2	1	3	2	1	1	2	2	2	0	1	1	3	0	0	4	8	5	10	2	6	9	8	12	7	7	8
O00213	APBB1	710	6	5	7	3	6	5	4	5	7	6	4	8	6	7	9	36	38	31	41	33	29	29	36	32	31	35	33
O00217	NDUFS8	210	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	5	3	3	2	2	1	2	1	3	4	3	1
O00221	NFKBIE	500	6	6	6	7	7	7	8	9	9	14	13	13	14	13	11	13	15	12	9	8	14	7	7	14	8	8	5
O00231	PSMD11	422	13	16	15	19	17	14	18	13	15	21	19	25	22	20	25	25	17	25	23	25	22	20	26	19	33	26	28
O00232	PSMD12	456	14	10	16	11	13	18	14	9	12	14	19	16	17	15	13	15	18	19	17	17	13	16	15	24	24	22	19
O00233	PSMD9	223	1	3	1	3	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
O00244	ATOX1	68	0	0	0	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
O00255	MEN1	610	2	0	2	4	5	2	4	2	3	0	0	0	0	0	0	1	3	3	2	1	3	4	1	0	0	0	0
O00257	CBX4	560	0	1	1	2	2	1	1	1	1	0	0	1	0	0	0	3	1	2	1	6	2	0	0	1	0	2	3
O00264	PGRMC1	195	2	3	5	2	1	4	1	2	5	4	4	4	4	1	3	15	9	7	7	8	8	4	6	9	11	11	5
O00267	SUPT5H	1087	17	14	20	27	26	17	20	12	19	16	15	14	10	8	12	15	15	13	14	15	12	7	9	8	12	11	13
O00268	TAF4	1085	1	1	1	4	4	1	4	1	4	5	4	8	6	1	3	8	10	10	13	18	12	13	19	13	12	13	13
O00273	DFFA	331	5	8	5	6	6	7	6	5	5	5	6	5	5	7	6	3	4	3	2	1	1	0	1	2	4	1	2
O00287	RFXAP	272	3	2	2	2	2	3	2	3	3	3	3	2	5	2	2	1	1	0	0	0	0	0	0	0	0	0	0
O00291	HIP1	1037	2	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
O00299	CLIC1	241	2	2	5	5	3	3	4	2	6	6	5	4	4	4	3	4	1	2	2	1	1	1	1	2	9	4	3
O00303	EIF3F	357	24	18	19	11	11	13	12	18	13	19	14	14	15	14	12	20	22	23	16	17	21	15	16	17	16	22	13
O00308	WWP2	870	3	1	2	0	0	1	2	0	0	2	3	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0
O00311	CDC7	574	6	9	9	12	12	7	11	9	10	6	2	5	4	3	3	1	3	1	1	2	0	0	0	0	2	0	1
O00327	BMAL1	626	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00330	PDHX	501	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	1
O00399	DCTN6	190	0	0	0	0	0	1	2	3	1	1	1	3	1	1	1	1	2	0	0	0	0	0	0	1	0	0	1
O00401	WASL	505	1	2	4	0	0	3	0	2	1	3	1	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0
O00410	IPO5	1097	6	6	6	6	8	6	4	5	4	7	10	4	7	5	6	27	17	19	15	12	14	13	15	27	33	31	21
O00411	POLRMT	1230	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
O00418	EEF2K	725	9	17	10	1	2	11	6	9	5	10	8	8	13	10	11	1	6	3	2	0	0	0	1	0	0	0	0
O00422	SAP18	153	5	7	2	8	5	2	4	5	3	3	2	5	1	2	3	2	5	1	2	2	2	5	8	3	3	1	1
O00423	EML1	815	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
O00425	IGF2BP3	579	2	3	2	5	5	1	2	3	2	3	3	4	6	3	3	16	14	15	15	15	16	22	17	16	20	15	26
O00429	DNM1L	736	52	46	47	23	19	57	38	41	46	62	47	52	64	60	66	33	36	36	30	27	23	21	36	29	30	31	33
O00442	RTCA	366	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	1	1
O00443	PIK3C2A	1686	28	28	35	10	9	27	20	21	23	32	26	42	34	25	30	27	29	29	22	22	20	22	18	20	17	14	17
O00458	IFRD1	451	2	1	1	0	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00459	PIK3R2	728	1	2	2	0	0	6	3	9	4	1	3	0	2	0	1	2	5	5	4	2	4	8	6	8	5	5	7
O00463	TRAF5	557	4	3	3	3	3	8	8	10	6	10	11	10	10	7	8	7	7	6	3	3	2	4	1	3	4	4	2
O00468	AGRN	2068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
O00469	PLOD2	737	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	3	1	1
O00472	ELL2	640	0	0	0	1	2	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
O00483	NDUFA4	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	1	1	1	2	3	1	1
O00487	PSMD14	310	10	13	9	6	7	10	8	9	12	14	12	12	9	14	11	9	13	9	9	9	5	4	8	8	9	7	10
O00505	KPNA3	521	10	6	6	8	10	6	9	5	10	5	6	7	6	6	7	9	8	12	14	9	8	7	10	14	18	11	15
O00512	BCL9	1426	2	1	2	5	3	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00541	PES1	588	6	10	10	12	14	5	9	9	7	5	6	5	7	6	7	9	14	12	12	11	11	8	8	13	12	8	9
O00560	SDCBP	298	4	3	2	1	0	3	0	2	2	1	0	2	0	0	0	3	3	2	2	1	3	4	3	2	3	4	3
O00566	MPHOSPH10	681	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0
O00567	NOP56	594	1	1	1	10	8	0	7	2	7	0	1	0	0	0	0	23	23	21	27	16	20	19	18	14	12	12	16
O00571	DDX3X	662	86	90	73	35	37	82	67	71	66	74	62	67	73	68	74	71	73	73	53	59	58	49	61	48	42	40	50
O00628	PEX7	323	4	3	2	0	1	3	2	3	5	1	1	0	2	1	1	1	4	1	2	2	0	1	1	0	1	3	2
O00629	KPNA4	521	14	12	13	24	22	13	17	11	14	16	16	19	15	16	15	19	20	16	13	22	18	21	13	12	11	15	15
O00635	TRIM38	465	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
O00712	NFIB	420	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00716	E2F3	465	9	7	8	12	12	9	9	6	9	5	6	7	10	9	8	4	2	3	4	5	2	1	3	0	6	2	4
O00743	PPP6C	305	5	6	6	3	4	7	7	6	8	12	7	9	10	9	10	11	12	14	15	9	10	15	10	10	14	9	11
O00750	PIK3C2B	1634	3	1	3	0	0	4	1	6	2	4	0	2	5	1	2	6	6	2	0	0	2	2	1	2	1	0	0
O00754	MAN2B1	1011	0	0	1	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
O00762	UBE2C	179	5	4	4	2	1	5	2	2	3	3	5	1	5	2	2	5	2	3	0	1	0	0	0	7	4	2	0
O00763	ACACB	2458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	14	22	27	26	22	10	13	12	22	21	22
O00764	PDXK	312	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	2	0	1	0	0	0	0	1	1	0
O14497	ARID1A	2285	3	5	5	15	14	2	11	2	12	4	5	1	2	1	0	2	5	6	6	2	4	4	5	2	6	2	3
O14519	CDK2AP1	115	4	5	4	6	6	7	6	5	8	5	5	5	5	6	5	5	6	4	6	3	4	1	2	2	0	2	2
O14523	C2CD2L	706	0	0	0	0	0	4	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14524	NEMP1	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
O14530	TXNDC9	226	4	3	5	4	3	3	3	3	4	4	4	4	5	5	3	3	4	3	5	4	3	5	5	6	4	9	6
O14531	DPYSL4	572	3	5	4	6	2	5	2	6	3	6	6	5	5	11	5	5	5	6	1	1	4	2	1	0	3	2	2
O14544	SOCS6	535	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14545	TRAFD1	582	1	1	1	1	2	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
O14548	COX7A2L	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
O14562	UBFD1	309	6	5	4	4	4	6	4	6	12	11	3	2	9	8	6	11	11	7	10	6	11	2	8	12	11	8	13
O14576	DYNC1I1	645	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0
O14578	CIT	2027	2	2	2	2	3	2	3	0	2	1	1	4	2	1	2	2	2	3	0	0	0	1	0	1	1	0	1
O14579	COPE	308	8	14	13	6	6	6	5	7	5	9	6	7	8	11	8	10	7	10	15	15	17	5	7	7	7	9	7
O14593	RFXANK	260	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
O14617	AP3D1	1153	9	4	5	2	5	4	9	7	5	1	2	2	3	1	3	10	9	7	4	3	3	1	4	9	10	8	4
O14618	CCS	274	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
O14628	ZNF195	629	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	4	2	2	2	2	2	0	1	0	0	1	0
O14639	ABLIM1	778	7	8	9	0	0	10	3	9	5	6	5	6	9	9	10	6	2	1	0	1	1	0	0	4	1	2	1
O14640	DVL1	695	6	6	11	6	8	10	7	8	7	6	3	2	7	2	4	14	11	8	10	4	6	5	7	9	5	6	4
O14641	DVL2	736	26	25	21	18	19	28	28	20	24	33	23	28	29	28	22	45	50	47	47	27	30	29	35	36	24	27	33
O14653	GOSR2	212	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14654	IRS4	1257	34	34	35	25	29	66	42	58	51	33	23	22	31	27	26	59	55	59	55	54	55	82	72	62	68	65	73
O14662	STX16	325	1	2	1	2	2	2	2	3	2	2	2	1	4	2	2	1	0	0	0	1	0	0	0	1	1	1	0
O14686	KMT2D	5537	4	1	2	14	9	0	7	0	8	5	3	3	2	1	2	5	11	15	15	20	23	8	14	15	7	15	7
O14717	TRDMT1	391	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14727	APAF1	1248	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	1	1	2	0	0	0	0	2	1	0
O14730	RIOK3	519	1	2	2	0	1	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
O14733	MAP2K7	419	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
O14734	ACOT8	319	1	1	0	0	0	1	1	1	3	2	1	0	1	0	1	3	3	5	8	3	4	7	6	6	4	2	6
O14735	CDIPT	213	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	2	2	3	2	1	2	4
O14737	PDCD5	125	8	8	5	4	7	8	9	5	9	7	10	7	7	8	12	10	10	9	13	9	13	13	9	12	8	14	8
O14744	PRMT5	637	13	13	13	8	8	15	9	13	15	14	22	18	19	16	13	17	21	19	14	17	18	14	16	17	18	14	15
O14745	NHERF1	358	10	10	9	6	6	11	7	10	12	12	12	13	12	10	9	6	6	6	3	8	3	5	3	3	4	5	2
O14763	TNFRSF10B	440	1	1	1	2	0	9	5	10	8	2	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0
O14770	MEIS2	477	1	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
O14772	FPGT	607	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
O14773	TPP1	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	1	1	2	2	3	0
O14775	GNB5	395	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14776	TCERG1	1098	9	13	15	22	22	10	14	8	15	8	14	8	7	10	6	6	6	5	10	8	8	9	7	7	8	7	8
O14777	NDC80	642	6	6	8	1	1	5	1	5	4	3	4	3	3	3	5	6	7	6	10	10	12	12	11	5	4	5	10
O14786	NRP1	923	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
O14802	POLR3A	1390	24	23	24	39	46	23	30	17	31	19	17	18	16	9	12	17	21	22	12	18	14	16	21	18	20	15	16
O14818	PSMA7	248	7	9	7	7	5	4	6	4	7	6	9	5	8	6	7	14	9	12	13	9	16	9	11	12	9	13	8
