Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
Q8WUI4	reviewed	HDAC7_HUMAN	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a)	HDAC7 HDAC7A	Homo sapiens (Human)	952	HDAC7
Q9P0M6	reviewed	H2AW_HUMAN	Core histone macro-H2A.2 (Histone macroH2A2) (mH2A2)	MACROH2A2 H2AFY2	Homo sapiens (Human)	372	MACROH2A2
Q99878	reviewed	H2A1J_HUMAN	Histone H2A type 1-J (Histone H2A/e)	H2AC14 H2AFE HIST1H2AJ	Homo sapiens (Human)	128	H2AC14
P57053	reviewed	H2BFS_HUMAN	Histone H2B type F-S (H2B-clustered histone 12 like) (H2B.S histone 1) (Histone H2B.s) (H2B/s)	H2BC12L H2BFS H2BS1	Homo sapiens (Human)	126	H2BC12L
Q93079	reviewed	H2B1H_HUMAN	Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j)	H2BC9 H2BFJ HIST1H2BH	Homo sapiens (Human)	126	H2BC9
P62807	reviewed	H2B1C_HUMAN	Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l)	H2BC4 H2BFL HIST1H2BC; H2BC6 H2BFH HIST1H2BE; H2BC7 H2BFG HIST1H2BF; H2BC8 H2BFA HIST1H2BG; H2BC10 H2BFK HIST1H2BI	Homo sapiens (Human)	126	H2BC4; H2BC6; H2BC7; H2BC8; H2BC10
P0C0S8	reviewed	H2A1_HUMAN	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)	H2AC11 H2AFP HIST1H2AG; H2AC13 H2AFC HIST1H2AI; H2AC15 H2AFD HIST1H2AK; H2AC16 H2AFI HIST1H2AL; H2AC17 H2AFN HIST1H2AM	Homo sapiens (Human)	130	H2AC11; H2AC13; H2AC15; H2AC16; H2AC17
Q5QNW6	reviewed	H2B2F_HUMAN	Histone H2B type 2-F (H2B-clustered histone 18)	H2BC18 HIST2H2BF	Homo sapiens (Human)	126	H2BC18
P84243	reviewed	H33_HUMAN	Histone H3.3	H3-3A H3.3A H3F3 H3F3A PP781; H3-3B H3.3B H3F3B	Homo sapiens (Human)	136	H3-3A; H3-3B
O14929	reviewed	HAT1_HUMAN	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	HAT1 KAT1	Homo sapiens (Human)	419	HAT1
Q8IUE6	reviewed	H2A2B_HUMAN	Histone H2A type 2-B (H2A-clustered histone 21)	H2AC21 HIST2H2AB	Homo sapiens (Human)	130	H2AC21
Q96A08	reviewed	H2B1A_HUMAN	Histone H2B type 1-A (Histone H2B, testis) (TSH2B.1) (hTSH2B) (Testis-specific histone H2B)	H2BC1 HIST1H2BA TSH2B	Homo sapiens (Human)	127	H2BC1
P58876	reviewed	H2B1D_HUMAN	Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b) (H2B/b)	H2BC5 H2BFB HIRIP2 HIST1H2BD	Homo sapiens (Human)	126	H2BC5
Q7Z2G1	reviewed	H2BWT_HUMAN	Histone H2B type W-T (H2B histone family member W testis-specific) (H2B.W histone 1)	H2BW1 H2BFWT TH2B-175	Homo sapiens (Human)	153	H2BW1
Q8N257	reviewed	H2B3B_HUMAN	Histone H2B type 3-B (H2B type 12) (H2B-clustered histone 26) (H2B.U histone 1)	H2BC26 H2BU1 HIST3H2BB	Homo sapiens (Human)	126	H2BC26
Q6DN03	reviewed	H2B2C_HUMAN	Putative histone H2B type 2-C (H2B-clustered histone 20 pseudogene) (Histone H2B.t) (H2B/t)	H2BC20P HIST2H2BC	Homo sapiens (Human)	193	H2BC20P
Q75WM6	reviewed	H1FNT_HUMAN	Testis-specific H1 histone (Haploid germ cell-specific nuclear protein 1) (Histone H1.7) (Histone H1t2)	H1-7 H1FNT HANP1	Homo sapiens (Human)	255	H1-7
Q14493	reviewed	SLBP_HUMAN	Histone RNA hairpin-binding protein (Histone stem-loop-binding protein)	SLBP HBP	Homo sapiens (Human)	270	SLBP
Q99880	reviewed	H2B1L_HUMAN	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	H2BC13 H2BFC HIST1H2BL	Homo sapiens (Human)	126	H2BC13
Q99877	reviewed	H2B1N_HUMAN	Histone H2B type 1-N (Histone H2B.d) (H2B/d)	H2BC15 H2BFD HIST1H2BN	Homo sapiens (Human)	126	H2BC15
Q99879	reviewed	H2B1M_HUMAN	Histone H2B type 1-M (Histone H2B.e) (H2B/e)	H2BC14 H2BFE HIST1H2BM	Homo sapiens (Human)	126	H2BC14
P60008	reviewed	HILS1_HUMAN	Putative histone H1.9 (H1.9 linker histone pseudogene) (Putative spermatid-specific linker histone H1-like protein)	H1-9P H1-9 HILS1	Homo sapiens (Human)	231	H1-9P
Q9UKV0	reviewed	HDAC9_HUMAN	Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR)	HDAC9 HDAC7 HDAC7B HDRP KIAA0744 MITR	Homo sapiens (Human)	1011	HDAC9
Q6DRA6	reviewed	H2B2D_HUMAN	Putative histone H2B type 2-D (H2B-clustered histone 19 pseudogene)	H2BC19P HIST2H2BD	Homo sapiens (Human)	164	H2BC19P
Q71UI9	reviewed	H2AV_HUMAN	Histone H2A.V (H2A.F/Z) (H2A.Z variant histone 2)	H2AZ2 H2AFV H2AV	Homo sapiens (Human)	128	H2AZ2
Q16695	reviewed	H31T_HUMAN	Histone H3.1t (H3/t) (H3t) (H3/g) (Histone H3.4)	H3-4 H3FT HIST3H3	Homo sapiens (Human)	136	H3-4
Q9NWY4	reviewed	HPF1_HUMAN	Histone PARylation factor 1	HPF1 C4orf27	Homo sapiens (Human)	346	HPF1
P56524	reviewed	HDAC4_HUMAN	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	HDAC4 KIAA0288	Homo sapiens (Human)	1084	HDAC4
Q96DB2	reviewed	HDA11_HUMAN	Histone deacetylase 11 (HD11) (EC 3.5.1.98)	HDAC11	Homo sapiens (Human)	347	HDAC11
O75367	reviewed	H2AY_HUMAN	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	MACROH2A1 H2AFY	Homo sapiens (Human)	369	MACROH2A1
Q92830	reviewed	KAT2A_HUMAN	Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97)	KAT2A GCN5 GCN5L2	Homo sapiens (Human)	837	KAT2A
Q92831	reviewed	KAT2B_HUMAN	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	KAT2B PCAF	Homo sapiens (Human)	832	KAT2B
P0C0S5	reviewed	H2AZ_HUMAN	Histone H2A.Z (H2A/z)	H2AZ1 H2AFZ H2AZ	Homo sapiens (Human)	128	H2AZ1
Q9UPP1	reviewed	PHF8_HUMAN	Histone lysine demethylase PHF8 (EC 1.14.11.27) (EC 1.14.11.65) (PHD finger protein 8) ([histone H3]-dimethyl-L-lysine(36) demethylase PHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8)	PHF8 KIAA1111 ZNF422	Homo sapiens (Human)	1060	PHF8
Q09472	reviewed	EP300_HUMAN	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	EP300 P300	Homo sapiens (Human)	2414	EP300
Q9NQV7	reviewed	PRDM9_HUMAN	Histone-lysine N-methyltransferase PRDM9 (PR domain zinc finger protein 9) (PR domain-containing protein 9) (Protein-lysine N-methyltransferase PRDM9) (EC 2.1.1.-) ([histone H3]-lysine36 N-trimethyltransferase PRDM9) (EC 2.1.1.359) ([histone H3]-lysine4 N-trimethyltransferase PRDM9) (EC 2.1.1.354) ([histone H3]-lysine9 N-trimethyltransferase PRDM9) (EC 2.1.1.355) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.361)	PRDM9 PFM6	Homo sapiens (Human)	894	PRDM9
Q969S8	reviewed	HDA10_HUMAN	Polyamine deacetylase HDAC10 (EC 3.5.1.48) (EC 3.5.1.62) (Histone deacetylase 10) (HD10)	HDAC10	Homo sapiens (Human)	669	HDAC10
Q92769	reviewed	HDAC2_HUMAN	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-)	HDAC2	Homo sapiens (Human)	488	HDAC2
Q8NB78	reviewed	KDM1B_HUMAN	Lysine-specific histone demethylase 2 (EC 1.14.99.66) (Flavin-containing amine oxidase domain-containing protein 1) (Lysine-specific histone demethylase 1B)	KDM1B AOF1 C6orf193 LSD2	Homo sapiens (Human)	822	KDM1B
Q9UBN7	reviewed	HDAC6_HUMAN	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	Homo sapiens (Human)	1215	HDAC6
Q9UQL6	reviewed	HDAC5_HUMAN	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)	HDAC5 KIAA0600	Homo sapiens (Human)	1122	HDAC5
Q86XA0	reviewed	MET23_HUMAN	Histone-arginine methyltransferase METTL23 (EC 2.1.1.319) (Methyltransferase-like protein 23)	METTL23 C17orf95	Homo sapiens (Human)	190	METTL23
Q96KQ7	reviewed	EHMT2_HUMAN	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)	EHMT2 BAT8 C6orf30 G9A KMT1C NG36	Homo sapiens (Human)	1210	EHMT2
Q53H47	reviewed	SETMR_HUMAN	Histone-lysine N-methyltransferase SETMAR (SET domain and mariner transposase fusion protein) (Metnase) [Includes: Histone-lysine N-methyltransferase (EC 2.1.1.357); Transposon Hsmar1 transposase (EC 3.1.-.-)]	SETMAR	Homo sapiens (Human)	684	SETMAR
O75164	reviewed	KDM4A_HUMAN	Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A)	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	Homo sapiens (Human)	1064	KDM4A
Q9H9B1	reviewed	EHMT1_HUMAN	Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D)	EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D	Homo sapiens (Human)	1298	EHMT1
P04554	reviewed	PRM2_HUMAN	Protamine-2 (Sperm histone P2) (Sperm protamine P2) [Cleaved into: Basic nuclear protein HPI1; Basic nuclear protein HPI2; Basic nuclear protein HPS1; Basic nuclear protein HPS2; Sperm histone HP4 (Sperm protamine P4); Sperm histone HP2 (Sperm protamine P2) (P2'); Sperm histone HP3 (P2'') (Sperm protamine P3)]	PRM2	Homo sapiens (Human)	102	PRM2
O95251	reviewed	KAT7_HUMAN	Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)	KAT7 HBO1 HBOa MYST2	Homo sapiens (Human)	611	KAT7
Q6ZMT4	reviewed	KDM7A_HUMAN	Lysine-specific demethylase 7A (JmjC domain-containing histone demethylation protein 1D) (Lysine-specific demethylase 7) ([histone H3]-dimethyl-L-lysine9 demethylase 7A) (EC 1.14.11.65)	KDM7A JHDM1D KDM7 KIAA1718	Homo sapiens (Human)	941	KDM7A
Q8TEK3	reviewed	DOT1L_HUMAN	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)	DOT1L KIAA1814 KMT4	Homo sapiens (Human)	1537	DOT1L
O15047	reviewed	SET1A_HUMAN	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1)	SETD1A KIAA0339 KMT2F SET1 SET1A	Homo sapiens (Human)	1707	SETD1A
Q9NQW5	reviewed	PRDM7_HUMAN	Histone-lysine N-methyltransferase PRDM7 (EC 2.1.1.-) (PR domain zinc finger protein 7) (PR domain-containing protein 7) ([histone H3]-lysine4 N-methyltransferase PRDM7)	PRDM7 PFM4	Homo sapiens (Human)	492	PRDM7
Q9C0A6	reviewed	SETD5_HUMAN	Histone-lysine N-methyltransferase SETD5 (EC 2.1.1.359) (EC 2.1.1.367) (SET domain-containing protein 5)	SETD5 KIAA1757	Homo sapiens (Human)	1442	SETD5
Q8WYB5	reviewed	KAT6B_HUMAN	Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)	KAT6B KIAA0383 MORF MOZ2 MYST4	Homo sapiens (Human)	2073	KAT6B
Q13547	reviewed	HDAC1_HUMAN	Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein decrotonylase HDAC1) (EC 3.5.1.-)	HDAC1 RPD3L1	Homo sapiens (Human)	482	HDAC1
P55345	reviewed	ANM2_HUMAN	Protein arginine N-methyltransferase 2 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT2)	PRMT2 HMT1 HRMT1L1	Homo sapiens (Human)	433	PRMT2
Q9BY41	reviewed	HDAC8_HUMAN	Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-)	HDAC8 HDACL1 CDA07	Homo sapiens (Human)	377	HDAC8
Q9UBL3	reviewed	ASH2L_HUMAN	Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein)	ASH2L ASH2L1	Homo sapiens (Human)	628	ASH2L
Q9BQA5	reviewed	HINFP_HUMAN	Histone H4 transcription factor (Histone nuclear factor P) (HiNF-P) (MBD2-interacting zinc finger protein) (Methyl-CpG-binding protein 2-interacting zinc finger protein)	HINFP MIZF ZNF743	Homo sapiens (Human)	517	HINFP
O94953	reviewed	KDM4B_HUMAN	Lysine-specific demethylase 4B (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B) ([histone H3]-trimethyl-L-lysine(9) demethylase 4B)	KDM4B JHDM3B JMJD2B KIAA0876	Homo sapiens (Human)	1096	KDM4B
Q6B0I6	reviewed	KDM4D_HUMAN	Lysine-specific demethylase 4D (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3D) (Jumonji domain-containing protein 2D) ([histone H3]-trimethyl-L-lysine(9) demethylase 4D)	KDM4D JHDM3D JMJD2D	Homo sapiens (Human)	523	KDM4D
Q9Y4C1	reviewed	KDM3A_HUMAN	Lysine-specific demethylase 3A (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A) ([histone H3]-dimethyl-L-lysine(9) demethylase 3A)	KDM3A JHDM2A JMJD1 JMJD1A KIAA0742 TSGA	Homo sapiens (Human)	1321	KDM3A
O60814	reviewed	H2B1K_HUMAN	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12 H2BFT HIRIP1 HIST1H2BK	Homo sapiens (Human)	126	H2BC12
P41229	reviewed	KDM5C_HUMAN	Lysine-specific demethylase 5C (EC 1.14.11.67) (Histone demethylase JARID1C) (Jumonji/ARID domain-containing protein 1C) (Protein SmcX) (Protein Xe169) ([histone H3]-trimethyl-L-lysine(4) demethylase 5C)	KDM5C DXS1272E JARID1C SMCX XE169	Homo sapiens (Human)	1560	KDM5C
Q8WTS6	reviewed	SETD7_HUMAN	Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.364) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (Lysine N-methyltransferase 7) (SET domain-containing protein 7) (SET7/9)	SETD7 KIAA1717 KMT7 SET7 SET9	Homo sapiens (Human)	366	SETD7
Q16576	reviewed	RBBP7_HUMAN	Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)	RBBP7 RBAP46	Homo sapiens (Human)	425	RBBP7
Q92793	reviewed	CBP_HUMAN	CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)	CREBBP CBP	Homo sapiens (Human)	2442	CREBBP
O75409	reviewed	HYPM_HUMAN	Huntingtin-interacting protein M (Histone H2A.P) (Huntingtin yeast partner M)	H2AP CXorf27 HYPM	Homo sapiens (Human)	117	H2AP
Q6GMV2	reviewed	SMYD5_HUMAN	Histone-lysine N-trimethyltransferase SMYD5 (EC 2.1.1.372) (Protein NN8-4AG) (Retinoic acid-induced protein 15) (SET and MYND domain-containing protein 5) ([histone H4]-lysine20 N-trimethyltransferase SMYD5)	SMYD5 RAI15	Homo sapiens (Human)	418	SMYD5
O14607	reviewed	UTY_HUMAN	Histone demethylase UTY (EC 1.14.11.68) (Ubiquitously-transcribed TPR protein on the Y chromosome) (Ubiquitously-transcribed Y chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase UTY)	UTY KDM6C	Homo sapiens (Human)	1347	UTY
Q8IV48	reviewed	ERI1_HUMAN	3'-5' exoribonuclease 1 (EC 3.1.-.-) (3'-5' exonuclease ERI1) (Eri-1 homolog) (Histone mRNA 3'-end-specific exoribonuclease) (Histone mRNA 3'-exonuclease 1) (Protein 3'hExo) (HEXO)	ERI1 3'EXO THEX1	Homo sapiens (Human)	349	ERI1
Q4FZB7	reviewed	KMT5B_HUMAN	Histone-lysine N-methyltransferase KMT5B (Lysine N-methyltransferase 5B) (Lysine-specific methyltransferase 5B) (Suppressor of variegation 4-20 homolog 1) (Su(var)4-20 homolog 1) (Suv4-20h1) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361)	KMT5B SUV420H1 CGI-85	Homo sapiens (Human)	885	KMT5B
P29375	reviewed	KDM5A_HUMAN	Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A)	KDM5A JARID1A RBBP2 RBP2	Homo sapiens (Human)	1690	KDM5A
O43593	reviewed	HAIR_HUMAN	Lysine-specific demethylase hairless (EC 1.14.11.65) ([histone H3]-dimethyl-L-lysine(9) demethylase hairless)	HR	Homo sapiens (Human)	1189	HR
P0C5Z0	reviewed	H2AB2_HUMAN	Histone H2A-Bbd type 2/3 (H2A Barr body-deficient) (H2A.Bbd)	H2AB2 H2AFB2; H2AB3 H2ABBD H2AFB H2AFB3	Homo sapiens (Human)	115	H2AB2; H2AB3
