Source database	Reference DB	Reference ID	interaction detection name	interaction detection reference DB	interaction detection reference ID	Protein 1 confidence unit	Protein 1 confidence value	Protein 1 is overexpressed	Protein 1 is tagged	Protein 1 fullName	Protein 1 shortName	Protein 1 organism	Protein 1 xref DB	Protein 1 xref ID	Protein 2 confidence unit	Protein 2 confidence value	Protein 2 is overexpressed	Protein 2 is tagged	Protein 2 fullName	Protein 2 shortName	Protein 2 organism	Protein 2 xref DB	Protein 2 xref ID
MIPS	PubMed	10608857	copurification	MI	0025	boolean	1	false	false	PFN2; profilin, isoform II	13	10090	SP	Q9JJV2	boolean	1	false	false	SMN;SMN1; survival motor neuron protein	9	9606	SP	Q16637
MIPS	PubMed	10347167	two hybrid	MI	0018	boolean	1	false	false	PPARG;NR1C; peroxisome proliferator-activated receptor gamma	15	10090	PIR	A54101	boolean	1	false	false	NCOA4;ARA70;RFG;ELE1; nuclear receptor coactivator 4 (ARA70)	16	9606	SP	Q13772
MIPS	PubMed	10347167	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PPARG;NR1C; peroxisome proliferator-activated receptor gamma	15	10090	PIR	A54101	boolean	1	false	false	NCOA4;ARA70;RFG;ELE1; nuclear receptor coactivator 4 (ARA70)	16	9606	SP	Q13772
MIPS	PubMed	11983713	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	GOT2;MAAT; mitochondrial aspartate aminotransferase precursor (pmAAT)	14	10116	SP	P00507	boolean	0	false	false	HSPA8;HSC70; heat shock cognate 71 kDa protein	17	9913	SP	P19120
MIPS	PubMed		far western blotting	MI	0047	boolean	0	false	false	c-fos; fos cellular oncogene	33	10116	SP	P12841	boolean	0	false	false	TFIIF-30; general transcription factor TFIIE-34	35	40674	TREMBL	
MIPS	PubMed	9867828	two hybrid	MI	0018	boolean	1	false	false	S100A8;CAGA;MRP8; calgranulin A (migration inhibitory factor-related protein 8)	1	10090	SP	P27005	boolean	1	false	false	S100A8;CAGA;MRP8; calgranulin A (migration inhibitory factor-related protein 8)	1	10090	SP	P27005
MIPS	PubMed	9867828	two hybrid	MI	0018	boolean	1	false	false	S100A9;CAGB;MRP14; calgranulin B (migration inhibitory factor-related protein 14)	2	10090	SP	P31725	boolean	1	false	false	S100A9;CAGB;MRP14; calgranulin B (migration inhibitory factor-related protein 14)	2	10090	SP	P31725
MIPS	PubMed	11154706	copurification	MI	0025	boolean	1	false	false	PPP1R9B; spinophilin (neurabin II)	18	10116	SP	O35274	boolean	1	false	false	ADRA2A; Alpha-2A adrenergic receptor	19	9825	SP	P18871
MIPS	PubMed	8628302	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	hnRNP K; heterogeneous nuclear ribonucleoprotein K	20	9606	SP	Q07244	boolean	0	false	false	TBP; TATA-binding protein	21	9606	SP	P20226
MIPS	PubMed	8628302	copurification	MI	0025	boolean	0	false	false	hnRNP K; heterogeneous nuclear ribonucleoprotein K	20	9606	SP	Q07244	boolean	0	false	false	TBP; TATA-binding protein	21	9606	SP	P20226
MIPS	PubMed	11154706	copurification	MI	0025	boolean	1	false	false	PPP1R9B; spinophilin (neurabin II)	18	10116	SP	O35274	boolean	1	false	false	ADRA2B; alpha-2B adrenergic receptor	22	10116	SP	P19328
MIPS	PubMed	11154706	copurification	MI	0025	boolean	1	false	false	PPP1R9B; spinophilin (neurabin II)	18	10116	SP	O35274	boolean	1	false	false	ADRA2C; alpha-2C adrenergic receptor	23	10116	SP	P22086
MIPS	PubMed	11134351	two hybrid	MI	0018	boolean	1	false	false	MPB-1; C-myc promoter-binding protein (MPB-1)	25	9606	SP	P22712	boolean	1	false	false	MIP-2A; MBP-1 interacting protein-2A (MIP-2A)	26	9606	GB	AF058918
MIPS	PubMed	11134351	two hybrid	MI	0018	boolean	1	false	false	MPB-1; C-myc promoter-binding protein (MPB-1)	25	9606	SP	P22712	boolean	1	false	false	MIP-2A; MBP-1 interacting protein-2A (MIP-2A)	26	9606	GB	AF058918
MIPS	PubMed	11154706	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PPP1R9B; spinophilin (neurabin II)	18	10116	SP	O35274	boolean	0	false	false	ADRA2A; Alpha-2A adrenergic receptor	24	9825	SP	P22909
MIPS	PubMed	11154706	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PPP1R9B; spinophilin (neurabin II)	18	10116	SP	O35274	boolean	1	false	false	ADRA2B; alpha-2B adrenergic receptor	22	10116	SP	P19328
MIPS	PubMed	11154706	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PPP1R9B; spinophilin (neurabin II)	18	10116	SP	O35274	boolean	1	false	false	ADRA2C; alpha-2C adrenergic receptor	23	10116	SP	P22086
MIPS	PubMed	11134351	copurification	MI	0025	boolean	1	false	false	MPB-1; C-myc promoter-binding protein (MPB-1)	25	9606	SP	P22712	boolean	1	false	false	MIP-2A; MBP-1 interacting protein-2A (MIP-2A)	26	9606	GB	AF058918
MIPS	PubMed	11134351	copurification	MI	0025	boolean	1	false	false	MIP-2A; MBP-1 interacting protein-2A (MIP-2A)	26	9606	GB	AF058918	boolean	1	false	false	MPB-1; C-myc promoter-binding protein (MPB-1)	25	9606	SP	P22712
MIPS	PubMed	11134351	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	MPB-1; C-myc promoter-binding protein (MPB-1)	25	9606	SP	P22712	boolean	1	false	false	MIP-2A; MBP-1 interacting protein-2A (MIP-2A)	26	9606	GB	AF058918
MIPS	PubMed	10593949	copurification	MI	0025	boolean	1	false	false	PQBP-1;JM26;NPW38; Polyglutamine binding protein 1	27	9606	SP	O60828	boolean	1	false	false	NPWBP; NPW38-binding protein NPWBP	28	9606	SP	Q9Y2W2
MIPS	PubMed	10593949	copurification	MI	0025	boolean	1	false	false	PQBP-1;JM26;NPW38; Polyglutamine binding protein 1	27	9606	SP	O60828	boolean	1	false	false	NPWBP; NPW38-binding protein NPWBP	28	9606	SP	Q9Y2W2
MIPS	PubMed	10593949	two hybrid	MI	0018	boolean	1	false	false	PQBP-1;JM26;NPW38; Polyglutamine binding protein 1	27	9606	SP	O60828	boolean	1	false	false	NPWBP; NPW38-binding protein NPWBP	28	9606	SP	Q9Y2W2
MIPS	PubMed	10593949	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PQBP-1;JM26;NPW38; Polyglutamine binding protein 1	27	9606	SP	O60828	boolean	1	false	false	NPWBP; NPW38-binding protein NPWBP	28	9606	SP	Q9Y2W2
MIPS	PubMed	10585767	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	FWD2; F-box protein FWD2	29	10090	SP	Q9QUH1	boolean	1	false	false	TCEB1L; SCF complex protein SKP1	30	10090	SP	Q9WTX5
MIPS	PubMed	10585767	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	TCEB1L; SCF complex protein SKP1	30	10090	SP	Q9WTX5	boolean	1	false	false	FWD2; F-box protein FWD2	29	10090	SP	Q9QUH1
MIPS	PubMed	10574993	two hybrid	MI	0018	boolean	1	false	false	JIP-1; C-jun-amino-terminal kinase interacting protein 1 (JNK-interacting protein 1) (JIP-1)	31	9606	SP	Q9UQF2	boolean	1	false	false	RGNEF OR RHOIP2; Rho-guanine nucleotide exchange factor (Rho-interacting protein 2) (RhoGEF)	32	10090	SP	P97433
MIPS	PubMed	10574993	copurification	MI	0025	boolean	1	false	false	JIP-1; C-jun-amino-terminal kinase interacting protein 1 (JNK-interacting protein 1) (JIP-1)	31	9606	SP	Q9UQF2	boolean	1	false	false	RGNEF OR RHOIP2; Rho-guanine nucleotide exchange factor (Rho-interacting protein 2) (RhoGEF)	32	10090	SP	P97433
MIPS	PubMed	10330166	copurification	MI	0025	boolean	0	false	false	RB1; retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)	40	9606	SP	P06400	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994
MIPS	PubMed	10574993	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	JIP-1; C-jun-amino-terminal kinase interacting protein 1 (JNK-interacting protein 1) (JIP-1)	31	9606	SP	Q9UQF2	boolean	1	false	false	RGNEF OR RHOIP2; Rho-guanine nucleotide exchange factor (Rho-interacting protein 2) (RhoGEF)	32	10090	SP	P97433
MIPS	PubMed	10574993	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	RGNEF OR RHOIP2; Rho-guanine nucleotide exchange factor (Rho-interacting protein 2) (RhoGEF)	32	10090	SP	P97433	boolean	1	false	false	JIP-1; C-jun-amino-terminal kinase interacting protein 1 (JNK-interacting protein 1) (JIP-1)	31	9606	SP	Q9UQF2
MIPS	PubMed	10330166	copurification	MI	0025	boolean	0	false	false	RBL1; retinoblastoma-associated protein p107 (pocket protein p107)	44	9606	SP	P28749	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994
MIPS	PubMed	10330166	copurification	MI	0025	boolean	0	false	false	RB2;RBL2; retinoblastoma-associated protein p130 (pocket protein p130)	42	9606	SP	Q08999	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994
MIPS	PubMed	10330166	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	RB1; retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)	40	9606	SP	P06400	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994
MIPS	PubMed	10330166	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	RB2;RBL2; retinoblastoma-associated protein p130 (pocket protein p130)	42	9606	SP	Q08999	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994
MIPS	PubMed	10330166	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	RBL1; retinoblastoma-associated protein p107 (pocket protein p107)	44	9606	SP	P28749	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994
MIPS	PubMed	10330166	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994	boolean	0	false	false	RBL1; retinoblastoma-associated protein p107 (pocket protein p107)	44	9606	SP	P28749
MIPS	PubMed	10570266	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	SYK; Tyrosine-protein kinase SYK (Spleen tyrosine kinase)	39	10090	SP	P48025	boolean	1	false	false	CBL;CBL2; Signal transduction protein CBL (Proto-oncogene c-CBL)	43	9606	SP	P22681
MIPS	PubMed	10330166	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994	boolean	0	false	false	RB2;RBL2; retinoblastoma-associated protein p130 (pocket protein p130)	42	9606	SP	Q08999
MIPS	PubMed	10330166	experimental knowledge based	MI	0046	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994	boolean	0	false	false	RB2;RBL2; retinoblastoma-associated protein p130 (pocket protein p130)	42	9606	SP	Q08999
MIPS	PubMed	10330166	experimental knowledge based	MI	0046	boolean	0	false	false	BRF;BRF1; TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit; B-related factor 1)	41	9606	SP	Q92994	boolean	0	false	false	RBL1; retinoblastoma-associated protein p107 (pocket protein p107)	44	9606	SP	P28749
MIPS	PubMed	7521231	colocalization/visualisation technologies	MI	0023	boolean	1	false	false	ITGA2; Integrin alpha-2 precursor	36	10090	SP	Q62469	boolean	1	false	false	ITGB1; Integrin beta-1 precursor	38	10090	SP	P09055
MIPS	PubMed	8628277	far western blotting	MI	0047	boolean	0	false	false	c-jun; Jun cellular oncogene	46	10116	GB	X17163	boolean	0	false	false	TFIIE-34; general transcription factor TFIIE-34	34	40674	TREMBL	
MIPS	PubMed	10397731	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	ITGA2; Integrin alpha-2 precursor	36	10090	SP	Q62469	boolean	1	false	false	ITGP; Integrin-associated protein	45	10090	SP	Q61735
MIPS	PubMed	10397731	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	ITGB1; Integrin beta-1 precursor	38	10090	SP	P09055	boolean	1	false	false	ITGP; Integrin-associated protein	45	10090	SP	Q61735
MIPS	PubMed	10567518	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	FMR1;FMR-1; fragile X mental retardation protein 1	47	10090	SP	P35922	boolean	0	false	false	FXR1;FXR1H; fragile X mental retardation syndrome related protein 1	48	10090	SP	Q61584
MIPS	PubMed	10567518	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	FMR1;FMR-1; fragile X mental retardation protein 1	47	10090	SP	P35922	boolean	0	false	false	FXR2;FXR2H; fragile X mental retardation syndrome related protein 2	49	10090	SP	Q9WVR4
MIPS	PubMed	10567518	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	FMR1;FMR-1; fragile X mental retardation protein 1	47	10090	SP	P35922	boolean	1	false	false	NCL;NUC; nucleolin	50	10090	SP	P09405
MIPS	PubMed	10567518	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	NCL;NUC; nucleolin	50	10090	SP	P09405	boolean	0	false	false	FMR1;FMR-1; fragile X mental retardation protein 1	47	10090	SP	P35922
MIPS	PubMed	10567574	two hybrid	MI	0018	boolean	0	false	false	TCF3;PAN; transcription factor E2-alpha	52	10116	SP	P21677	boolean	1	false	false	PSMD9; transactivating protein Bridge-1	51	10116	SP	Q9WTV5
MIPS	PubMed	10567574	two hybrid	MI	0018	boolean	0	false	false	TCF3;PAN; transcription factor E2-alpha	52	10116	SP	P21677	boolean	1	false	false	TWIST; Twist protein	53	10116	SP	Q9EPJ1
MIPS	PubMed	10567574	two hybrid	MI	0018	boolean	0	false	false	TCF3;PAN; transcription factor E2-alpha	52	10116	SP	P21677	boolean	1	false	false	ID3 or ID-3; DNA-binding protein inhibitor ID-3; inhibitor of DNA binding 3	54	10116	SP	P41138
MIPS	PubMed	10567574	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PSMD9; transactivating protein Bridge-1	51	10116	SP	Q9WTV5	boolean	0	false	false	TCF3;PAN; transcription factor E2-alpha	52	10116	SP	P21677
MIPS	PubMed	10567574	two hybrid	MI	0018	boolean	1	false	false	PSMD9; transactivating protein Bridge-1	51	10116	SP	Q9WTV5	boolean	0	false	false	TCF3;PAN; transcription factor E2-alpha	52	10116	SP	P21677
MIPS	PubMed	10562431	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	SLC2A1;GLUT1; solute carrier family 2, facilitated glucose transporter, member 1	55	9606	SP	P11166	boolean	1	false	false	EPB72;BND7; stomatin	56	9606	SP	P27105
MIPS	PubMed	10562431	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	EPB72;BND7; stomatin	56	9606	SP	P27105	boolean	1	false	false	SLC2A1;GLUT1; solute carrier family 2, facilitated glucose transporter, member 1	55	9606	SP	P11166
MIPS	PubMed	8955171	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	; surface glycoprotein CD100	57	9606	TREMBL	-	boolean	0	false	false	; surface glycoprotein CD100	57	9606	TREMBL	-
MIPS	PubMed	10562431	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	SLC2A1;GLUT1;GLUT; solute carrier family 2, facilitated glucose transporter, member 1	60	10116	SP	11167	boolean	0	false	false	EPB72;EPB7.2; stomatin	59	10090	SP	54116
MIPS	PubMed	10562431	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	EPB72;EPB7.2; stomatin	59	10090	SP	54116	boolean	0	false	false	SLC2A1;GLUT1;GLUT; solute carrier family 2, facilitated glucose transporter, member 1	60	10116	SP	11167
MIPS	PubMed	10562279	two hybrid	MI	0018	boolean	1	false	false	PEX12;PAF3; peroxisome assembly protein 12	61	9606	SP	O00623	boolean	1	false	false	PXR1;PEX5; peroxisomal targeting signal 1 receptor	62	9606	SP	P50542
MIPS	PubMed	10562279	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PEX12;PAF3; peroxisome assembly protein 12	61	9606	SP	O00623	boolean	1	false	false	PXR1;PEX5; peroxisomal targeting signal 1 receptor	62	9606	SP	P50542
MIPS	PubMed	10562279	two hybrid	MI	0018	boolean	1	false	false	PEX12;PAF3; peroxisome assembly protein 12	61	9606	SP	O00623	boolean	1	false	false	PEX10; peroxisome assembly protein 10	63	9606	SP	O60683
MIPS	PubMed	10562279	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PEX12;PAF3; peroxisome assembly protein 12	61	9606	SP	O00623	boolean	1	false	false	PEX10; peroxisome assembly protein 10	63	9606	SP	O60683
MIPS	PubMed	10561498	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	BTK;ATK;AGMX1;BPK; tyrosine-protein kinase BTK (Bruton`s tyrosine kinase)	64	9606	SP	Q06187	boolean	1	false	false	PRKCM;PKD; protein kinase C, mu type	65	9606	SP	Q15139
MIPS	PubMed	10561498	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PRKCM;PKD; protein kinase C, mu type	65	9606	SP	Q15139	boolean	1	false	false	BTK;ATK;AGMX1;BPK; tyrosine-protein kinase BTK (Bruton`s tyrosine kinase)	64	9606	SP	Q06187
MIPS	PubMed	10561498	copurification	MI	0025	boolean	1	false	false	BTK;ATK;AGMX1;BPK; tyrosine-protein kinase BTK (Bruton`s tyrosine kinase)	64	9606	SP	Q06187	boolean	1	false	false	PRKCM;PKD; protein kinase C, mu type	65	9606	SP	Q15139
MIPS	PubMed	8943373	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	; retinoblastoma-associated protein p107 (pocket protein p107)	72	40674	TREMBL	-	boolean	0	false	false	; retinoblastoma-associated protein p107 (pocket protein p107)	72	40674	TREMBL	-
MIPS	PubMed	10332029	two hybrid	MI	0018	boolean	1	false	false	"POU3F2;BRN2;OTF7;OCT7; 
                             Nervous-system specific octamer-binding transcription factor N-OCT 3 (BRN-2 protein)"	67	9606	SP	P20265	boolean	1	false	false	PQBP-1;JM26;NPW38; Polyglutamine binding protein 1	27	9606	SP	O60828
MIPS	PubMed	10332029	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	"POU3F2;BRN2;OTF7;OCT7; 
                             Nervous-system specific octamer-binding transcription factor N-OCT 3 (BRN-2 protein)"	67	9606	SP	P20265	boolean	1	false	false	PQBP-1;JM26;NPW38; Polyglutamine binding protein 1	27	9606	SP	O60828
MIPS	PubMed	1316909	experimental knowledge based	MI	0046	boolean	1	false	false	IGF1R; Insulin-like growth factor I receptor	69	9606	SP	P08069	boolean	1	false	false	IGF1R; Insulin-like growth factor I receptor	69	9606	SP	P08069
MIPS	PubMed	9415396	two hybrid	MI	0018	boolean	1	false	false	IGF1R; Insulin-like growth factor I receptor	69	9606	SP	P08069	boolean	1	false	false	PIK3R3; phosphatidylinositol 3-kinase regulatory gamma subunit (p55PIK)	68	10090	SP	Q64143
MIPS	PubMed	9415396	copurification	MI	0025	boolean	1	false	false	IGF1R; Insulin-like growth factor I receptor	69	9606	SP	P08069	boolean	1	false	false	PIK3R3; phosphatidylinositol 3-kinase regulatory gamma subunit (p55PIK)	68	10090	SP	Q64143
MIPS	PubMed	9415396	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PIK3R3; phosphatidylinositol 3-kinase regulatory gamma subunit (p55PIK)	68	10090	SP	Q64143	boolean	0	false	false	IRS1; Insulin receptor substrate-1	73	40674	TREMBL	
MIPS	PubMed	8943373	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	; retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)	71	40674	TREMBL	-	boolean	0	false	false	; retinoblastoma-associated protein p107 (pocket protein p107)	72	40674	TREMBL	-
MIPS	PubMed	9415396	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	PIK3R3; phosphatidylinositol 3-kinase regulatory gamma subunit (p55PIK)	68	10090	SP	Q64143	boolean	0	false	false	IGF1R; Insulin-like growth factor I receptor	70	40674	TREMBL	
MIPS	PubMed	8943373	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	; retinoblastoma-associated protein p107 (pocket protein p107)	72	40674	TREMBL	-	boolean	0	false	false	; retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)	71	40674	TREMBL	-
MIPS	PubMed	9415396	two hybrid	MI	0018	boolean	1	false	false	PIK3CA; phosphatidylinositol 3-kinase catalytic subunit, alpha isoform	74	10090	SP	P42337	boolean	1	false	false	PIK3R3; phosphatidylinositol 3-kinase regulatory gamma subunit (p55PIK)	68	10090	SP	Q64143
MIPS	PubMed	8934551	two hybrid	MI	0018	boolean	1	false	false	ALL-1; zink finger protein HRX (ALL-1) (trithorax-like protein)	77	9606	SP	Q03164	boolean	0	false	false	UNR; UNR protein	78	40674	TREMBL	-
MIPS	PubMed	8934551	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	ALL-1; zink finger protein HRX (ALL-1) (trithorax-like protein)	77	9606	SP	Q03164	boolean	0	false	false	UNR; UNR protein	78	40674	TREMBL	-
MIPS	PubMed	10557326	copurification	MI	0025	boolean	1	false	false	ATOX1;HAH1; copper transport protein ATOX1	79	9606	SP	O00244	boolean	1	false	false	ATP7B;WND;PWD;WC1; copper-transporting ATPase 2 (Wilson disease-associated protein)	80	9606	SP	P35670
MIPS	PubMed	10557326	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	ATOX1;HAH1; copper transport protein ATOX1	79	9606	SP	O00244	boolean	1	false	false	ATP7B;WND;PWD;WC1; copper-transporting ATPase 2 (Wilson disease-associated protein)	80	9606	SP	P35670
MIPS	PubMed	10557326	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	ATP7B;WND;PWD;WC1; copper-transporting ATPase 2 (Wilson disease-associated protein)	80	9606	SP	P35670	boolean	1	false	false	ATOX1;HAH1; copper transport protein ATOX1	79	9606	SP	O00244
MIPS	PubMed	10557326	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	ATP7A;MNK;MC1; copper-transporting ATPase 1 (Menkes disease-associated protein)	81	9606	SP	Q04656	boolean	1	false	false	ATOX1;HAH1; copper transport protein ATOX1	79	9606	SP	O00244
MIPS	PubMed	9412467	two hybrid	MI	0018	boolean	1	false	false	FUR; Furin precursor	75	10090	SP	P23188	boolean	1	false	false	FLNA; FLN1; filamin A; alpha-filamin; filamin 1; endothelial actin-binding protein ABP-280; nonmuscle filamin	76	10090	SP	O54934
MIPS	PubMed	9412467	copurification	MI	0025	boolean	1	false	false	FUR; Furin precursor	75	10090	SP	P23188	boolean	1	false	false	FLNA; FLN1; filamin A; alpha-filamin; filamin 1; endothelial actin-binding protein ABP-280; nonmuscle filamin	76	10090	SP	O54934
MIPS	PubMed	9412467	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	FLNA; FLN1; filamin A; alpha-filamin; filamin 1; endothelial actin-binding protein ABP-280; nonmuscle filamin	76	10090	SP	O54934	boolean	1	false	false	FUR; Furin precursor	75	10090	SP	P23188
