Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Unique Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Unique Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Unique Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Unique Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Unique Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Unique Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Unique Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Unique Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Unique Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Unique Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Unique Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Unique Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Unique Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Unique Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Unique Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Unique Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Unique Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Unique Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Total Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Total Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Total Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Total Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Total Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Total Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Total Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Total Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Total Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Total Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Total Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Total Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Total Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Total Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Total Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Total Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Total Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Total Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Intensity	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Intensity	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Intensity	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Intensity	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Intensity	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Intensity	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Intensity	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Intensity	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Intensity	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Intensity	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Intensity	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Intensity	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Intensity	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Intensity	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Intensity	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Intensity	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Intensity	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Intensity	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 MaxLFQ Intensity	15538_DMP_AP2_GFP_3N_2_S1_B11_1 MaxLFQ Intensity	15539_DMP_AP2_GFP_3N_3_S1_B12_1 MaxLFQ Intensity	15537_DMP_AP2_GFP_3N_1_S1_B10_1 MaxLFQ Intensity	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 MaxLFQ Intensity	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 MaxLFQ Intensity	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 MaxLFQ Intensity	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 MaxLFQ Intensity	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 MaxLFQ Intensity	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 MaxLFQ Intensity	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 MaxLFQ Intensity	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 MaxLFQ Intensity	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 MaxLFQ Intensity	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 MaxLFQ Intensity	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 MaxLFQ Intensity	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 MaxLFQ Intensity	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 MaxLFQ Intensity	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q5TA76|LCE3A_HUMAN	Q5TA76	LCE3A_HUMAN	LCE3A	89	Homo sapiens	1:Experimental evidence at protein level	Late cornified envelope protein 3A 	1.0	0.999	3	5	5	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.0	26873.705	0.0	56466.273	64302.32	0.0	21818.488	0.0	0.0	22360.469	14195.8545	0.0	9365.64	12537.905	13354.508	58295.44	0.0	0.0	0.0	0.0	0.0	35836.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43327.336	0.0	0.0	
sp|Q3LI70|KR196_HUMAN	Q3LI70	KR196_HUMAN	KRTAP19-6	58	Homo sapiens	1:Experimental evidence at protein level	Keratin-associated protein 19-6 	1.0	0.999	12	144	144	144	3	0	5	7	7	6	6	5	11	7	3	6	13	4	1	3	1	4	3	0	5	7	7	6	6	5	11	7	3	6	13	4	1	3	1	4	3	0	5	7	7	6	6	5	11	7	3	6	13	4	1	3	1	4	154068.38	118488.61	154918.97	150684.36	154536.16	164099.81	164178.81	133816.84	108481.016	164313.28	131871.53	150209.86	203397.1	175887.39	100057.4	155924.31	149720.66	215166.36	42865.23	38838.164	36046.016	36706.434	35644.848	33354.668	37533.348	33863.1	30954.977	36669.18	30038.56	33171.97	43661.234	52543.395	30396.186	53261.96	63670.535	55520.754	
sp|Q9NSK0|KLC4_HUMAN	Q9NSK0	KLC4_HUMAN	KLC4	619	Homo sapiens	1:Experimental evidence at protein level	Kinesin light chain 4 	1.0	0.999	30	400	399	400	23	23	29	24	34	36	34	35	41	36	43	41	0	0	0	1	0	0	23	23	29	24	34	36	34	35	41	35	43	41	0	0	0	1	0	0	23	23	29	24	34	36	34	35	41	36	43	41	0	0	0	1	0	0	1882038.1	1675637.4	1558005.1	1690802.2	1671414.0	1581465.6	1631251.5	1590763.0	1577257.5	1312714.6	1491291.6	1646248.0	66211.21	0.0	17008.133	38110.996	44658.168	61010.258	399038.6	361324.78	317879.22	306694.5	378133.03	364263.56	353462.1	376790.62	374832.2	333013.88	364697.2	403594.5	85631.43	0.0	58307.035	98702.12	130898.07	129452.96	
sp|Q9Y283|INVS_HUMAN	Q9Y283	INVS_HUMAN	INVS	1065	Homo sapiens	1:Experimental evidence at protein level	Inversin 	1.0	0.999	3	8	8	8	0	1	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	27108.95	0.0	22213.412	21848.121	16112.209	35537.355	22519.5	27774.703	38861.664	10917.77	18476.346	39994.16	0.0	0.0	0.0	0.0	0.0	0.0	20375.488	0.0	14297.473	15481.663	12089.896	0.0	14812.389	17372.348	24472.73	0.0	13090.2	16352.344	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q53R41|FAKD1_HUMAN	Q53R41	FAKD1_HUMAN	FASTKD1	847	Homo sapiens	1:Experimental evidence at protein level	FAST kinase domain-containing protein 1, mitochondrial 	1.0	0.999	5	63	63	63	1	1	8	1	2	6	2	4	9	8	8	9	0	2	1	0	0	1	1	1	8	1	2	6	2	4	9	8	8	9	0	2	1	0	0	1	1	1	8	1	2	6	2	4	9	8	8	9	0	2	1	0	0	1	45642.01	24844.713	97055.41	86293.7	78725.01	58356.043	76211.73	60638.92	77675.71	90687.47	101490.875	69941.19	19450.383	26645.174	30884.926	0.0	0.0	29892.855	18942.371	0.0	26695.668	24386.783	23326.559	21539.69	22196.072	19781.006	21390.38	26116.262	29162.664	26626.629	0.0	16159.258	15526.645	0.0	0.0	0.0	
sp|Q8NGF4|O5AP2_HUMAN	Q8NGF4	O5AP2_HUMAN	OR5AP2	316	Homo sapiens	1:Experimental evidence at protein level	Olfactory receptor 5AP2 	0.9312	0.9989	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10127.181	0.0	6195.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NUD9|PIGV_HUMAN	Q9NUD9	PIGV_HUMAN	PIGV	493	Homo sapiens	1:Experimental evidence at protein level	GPI mannosyltransferase 2 	1.0	0.999	3	4	4	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	14962.223	0.0	0.0	0.0	0.0	11213.358	0.0	0.0	0.0	16509.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75616|ERAL1_HUMAN	O75616	ERAL1_HUMAN	ERAL1	437	Homo sapiens	1:Experimental evidence at protein level	GTPase Era, mitochondrial 	0.9863	0.9988	2	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5344.9116	0.0	0.0	5668.1743	0.0	22179.133	0.0	0.0	0.0	53195.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5VIY5|ZN468_HUMAN	Q5VIY5	ZN468_HUMAN	ZNF468	522	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 468 	0.935	0.999	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11566.691	0.0	0.0	10745.835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01589|IL2RA_HUMAN	P01589	IL2RA_HUMAN	IL2RA	272	Homo sapiens	1:Experimental evidence at protein level	Interleukin-2 receptor subunit alpha 	0.9989	0.999	3	6	6	7	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	18302.396	18769.535	28041.688	28935.62	19543.354	22769.213	22629.764	0.0	0.0	23761.496	21264.945	0.0	14634.592	15925.007	0.0	16212.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q400G9|AMZ1_HUMAN	Q400G9	AMZ1_HUMAN	AMZ1	498	Homo sapiens	1:Experimental evidence at protein level	Archaemetzincin-1 	1.0	0.999	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin 	0.9998	0.999	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9H147|TDIF1_HUMAN	Q9H147	TDIF1_HUMAN	DNTTIP1	329	Homo sapiens	1:Experimental evidence at protein level	Deoxynucleotidyltransferase terminal-interacting protein 1 	0.935	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16665|HIF1A_HUMAN	Q16665	HIF1A_HUMAN	HIF1A	826	Homo sapiens	1:Experimental evidence at protein level	Hypoxia-inducible factor 1-alpha 	0.9996	0.999	2	3	3	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28073.855	0.0	20624.732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q96R84|OR1F2_HUMAN	Q96R84	OR1F2_HUMAN	OR1F2P	312	Homo sapiens	1:Experimental evidence at protein level	Putative olfactory receptor 1F2 	1.0	0.999	4	23	23	23	0	0	1	0	0	0	0	1	2	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	2	1	1	0	0	0	0	30263.166	0.0	13726.31	15945.757	15635.792	33857.0	16571.385	15463.01	36687.117	19820.285	36697.18	35705.023	52391.473	27823.756	0.0	11909.872	0.0	32385.28	17230.295	0.0	0.0	0.0	0.0	19441.857	0.0	0.0	21177.176	0.0	21199.469	20549.951	15141.511	15855.53	0.0	0.0	0.0	16051.051	
sp|Q9UPS6|SET1B_HUMAN	Q9UPS6	SET1B_HUMAN	SETD1B	1966	Homo sapiens	1:Experimental evidence at protein level	Histone-lysine N-methyltransferase SETD1B 	1.0	0.999	22	218	218	218	1	0	7	3	5	6	4	7	13	22	8	14	12	5	2	7	5	13	1	0	7	3	5	6	4	7	13	22	8	14	12	5	2	7	5	13	1	0	7	3	5	6	4	7	13	22	8	14	12	5	2	7	5	13	132823.78	171380.66	188879.03	133676.84	232186.8	253013.6	154552.39	162306.97	249484.16	414884.12	134546.44	346164.44	283768.16	218865.45	126364.63	161246.03	154301.95	226011.6	42109.695	43956.156	56318.41	44005.1	51807.42	53407.855	46410.312	46492.508	62933.684	62568.426	48233.12	51351.223	51304.742	48007.758	37968.387	49317.688	67074.56	60449.613	
sp|Q5EBL8|PDZ11_HUMAN	Q5EBL8	PDZ11_HUMAN	PDZD11	140	Homo sapiens	1:Experimental evidence at protein level	PDZ domain-containing protein 11 	1.0	0.999	15	113	113	113	2	2	2	1	4	2	4	3	6	2	3	6	6	5	8	2	3	4	2	2	2	1	4	2	4	3	6	2	3	6	6	5	8	2	3	4	2	2	2	1	4	2	4	3	6	2	3	6	6	5	8	2	3	4	47945.508	136682.39	99689.445	98394.03	89860.336	57110.652	53826.71	34682.61	61690.445	47270.246	47772.023	55253.016	238785.16	252237.62	170014.19	155580.19	51090.586	156369.31	35135.91	39171.234	30311.389	32698.05	37689.875	33923.098	31921.04	28789.178	35650.79	25234.518	39546.383	31430.102	38037.17	42419.184	41464.652	45612.293	36980.777	36751.812	
sp|Q8IYT3|CC170_HUMAN	Q8IYT3	CC170_HUMAN	CCDC170	715	Homo sapiens	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 170 	1.0	0.999	3	55	55	55	2	2	3	1	3	2	2	1	3	4	3	2	1	3	1	1	2	1	2	2	3	1	3	2	2	1	3	4	3	2	1	3	1	1	2	1	2	2	3	1	3	2	2	1	3	4	3	2	1	3	1	1	2	1	29285.414	40692.633	54121.973	41278.64	54584.133	54061.406	53465.324	49698.387	55221.65	53792.574	58628.0	59404.633	77719.484	76013.65	57097.047	43710.223	58985.53	62006.383	0.0	30341.096	30745.059	27786.256	31007.182	29768.668	30330.72	27831.217	31072.045	30697.797	32684.064	33585.316	41976.566	39472.484	39014.816	0.0	42312.62	40470.562	
sp|P23468|PTPRD_HUMAN	P23468	PTPRD_HUMAN	PTPRD	1912	Homo sapiens	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase delta 	1.0	0.999	47	755	755	755	15	21	35	27	35	34	29	28	35	36	30	27	38	32	19	19	24	34	15	21	35	27	35	34	29	28	35	36	30	27	38	32	19	19	24	34	15	21	35	27	35	34	29	28	35	36	30	27	38	32	19	19	24	34	527472.3	494770.88	669405.6	640324.44	628742.94	660395.9	536110.6	541351.75	591317.56	572665.7	566971.75	537079.8	686800.3	680799.2	530877.3	413521.12	458614.28	674482.25	53265.61	53082.484	63502.113	59500.574	58756.242	62162.406	57224.45	57031.285	64510.773	64669.184	59503.816	56440.02	57785.54	64047.754	49907.78	59549.617	69312.82	69721.59	
sp|Q96L21|RL10L_HUMAN	Q96L21	RL10L_HUMAN	RPL10L	214	Homo sapiens	1:Experimental evidence at protein level	Ribosomal protein uL16-like 	1.0	0.999	6	116	116	116	4	7	3	4	7	6	5	3	5	5	6	6	6	6	5	5	3	3	4	7	3	4	7	6	5	3	5	5	6	6	6	6	5	5	3	3	4	7	3	4	7	6	5	3	5	5	6	6	6	6	5	5	3	3	91605.75	88020.83	72901.36	59489.13	83209.5	85946.99	87388.34	94383.11	95492.22	86502.766	97217.766	108482.19	141765.61	133190.81	126217.54	80883.94	57058.938	140218.56	34738.34	48380.82	28019.398	30909.455	31970.916	32858.07	29687.97	32463.314	34693.133	29987.752	33809.84	36683.2	50866.72	51492.176	47875.758	41071.25	43197.953	41458.297	
sp|Q96BJ8|ELMO3_HUMAN	Q96BJ8	ELMO3_HUMAN	ELMO3	720	Homo sapiens	1:Experimental evidence at protein level	Engulfment and cell motility protein 3 	1.0	0.999	17	127	127	127	9	6	7	1	3	4	9	9	14	1	0	0	0	0	0	21	18	21	9	6	7	1	3	4	9	9	14	1	0	0	0	0	0	21	18	21	9	6	7	1	3	4	9	9	14	1	0	0	0	0	0	21	18	21	137328.66	126705.53	128394.41	44263.28	93292.89	102959.555	151360.16	160463.11	164543.56	33968.36	14430.457	21151.762	6374.58	0.0	7815.03	485151.22	512098.8	456609.53	38763.832	34773.656	33565.8	22079.082	25173.86	24712.318	37000.758	38486.06	40688.754	10555.426	11617.444	12772.8955	0.0	0.0	0.0	85528.695	103245.32	75726.46	
sp|O43247|CMIP4_HUMAN	O43247	CMIP4_HUMAN	CIMIP4	280	Homo sapiens	1:Experimental evidence at protein level	Ciliary microtubule inner protein 4 	1.0	0.999	4	34	34	34	1	0	1	1	0	1	2	1	2	0	0	2	2	2	6	0	1	0	1	0	1	1	0	1	2	1	2	0	0	2	2	2	6	0	1	0	1	0	1	1	0	1	2	1	2	0	0	2	2	2	6	0	1	0	31177.764	12558.977	19106.783	57420.156	44563.05	40925.273	45189.83	31227.623	14935.562	23711.426	9413.243	33330.55	36636.555	35066.586	54815.152	29688.004	18195.178	22634.002	14804.319	0.0	12777.27	25273.291	18249.014	20078.777	14626.041	12449.059	10526.312	13344.327	0.0	14881.08	16231.334	20128.889	24134.773	20988.658	0.0	0.0	
sp|O60706|ABCC9_HUMAN	O60706	ABCC9_HUMAN	ABCC9	1549	Homo sapiens	1:Experimental evidence at protein level	ATP-binding cassette sub-family C member 9 	0.9954	0.9983	2	2	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2379.1218	0.0	0.0	0.0	0.0	0.0	8403.265	7799.778	0.0	11233.074	10268.575	9281.508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9UF56|FXL17_HUMAN	Q9UF56	FXL17_HUMAN	FBXL17	701	Homo sapiens	1:Experimental evidence at protein level	F-box/LRR-repeat protein 17 	1.0	0.999	17	184	184	184	8	4	11	9	17	14	15	17	16	18	15	11	9	6	6	1	0	3	8	4	11	9	17	14	15	17	16	18	15	11	9	6	6	1	0	3	8	4	11	9	17	14	15	17	16	18	15	11	9	6	6	1	0	3	180436.4	182644.98	201861.75	227662.81	218118.75	224749.61	286991.5	268440.78	298585.06	248079.75	206958.16	239155.88	244585.39	203785.05	112459.02	134412.44	103460.09	167622.8	51776.44	52651.6	58162.527	50325.848	49167.773	49759.055	56513.152	67766.98	53367.402	43494.766	48894.773	49229.707	47625.64	47437.69	38044.566	33376.297	42410.605	44946.83	
sp|Q96QH2|PRAM_HUMAN	Q96QH2	PRAM_HUMAN	PRAM1	670	Homo sapiens	1:Experimental evidence at protein level	PML-RARA-regulated adapter molecule 1 	1.0	0.999	4	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13368.069	11932.191	0.0	0.0	0.0	7562.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q8NHX4|SPTA3_HUMAN	Q8NHX4	SPTA3_HUMAN	SPATA3	192	Homo sapiens	1:Experimental evidence at protein level	Spermatogenesis-associated protein 3 	1.0	0.999	8	9	9	60	0	0	1	0	1	0	0	2	1	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	2	2	0	0	0	0	0	0	0	2	1	6	6	5	2	5	7	4	5	4	3	4	0	1	1	0	1	11661.571	12453.153	15691.732	15130.488	20175.07	19402.574	12212.73	19870.486	7487.636	21313.318	21892.14	14599.291	6391.0884	0.0	5667.6196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14379.823	13778.22	0.0	14046.979	0.0	7208.878	14179.577	7718.3716	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9UJM8|HAOX1_HUMAN	Q9UJM8	HAOX1_HUMAN	HAO1	370	Homo sapiens	1:Experimental evidence at protein level	2-Hydroxyacid oxidase 1 	1.0	0.9988	3	6	6	6	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0.0	0.0	346640.94	345499.06	320700.44	274615.62	264073.44	300975.78	245118.05	169898.42	259358.77	359929.72	28591.426	16416.568	9450.757	15098.021	0.0	15980.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15357.953	0.0	0.0	0.0	0.0	0.0	
sp|Q6PEY1|TMM88_HUMAN	Q6PEY1	TMM88_HUMAN	TMEM88	159	Homo sapiens	1:Experimental evidence at protein level	Transmembrane protein 88 	0.9316	0.9989	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	3050.7026	0.0	0.0	0.0	0.0	0.0	2243.8938	3298.293	0.0	3532.668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
