Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
A0A2R8VHR8	reviewed	DT3UO_MOUSE	DDIT3 upstream open reading frame protein (Alternative DDIT3 proteins) (AltDDIT3)	Ddit3	Mus musculus (Mouse)	34	Ddit3	10090
A0A386CAB9	reviewed	NLRP1_DANRE	NACHT, LRR and PYD domains-containing protein 1 homolog (EC 3.4.-.-) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1, C-terminus (NLRP1-CT); NACHT, LRR and PYD domains-containing protein 1, N-terminus (NLRP1-NT)]	nlrp1 si:ch211-66k16.28	Danio rerio (Zebrafish) (Brachydanio rerio)	1355	nlrp1	7955
A0A396GMX6	reviewed	DELA2_MEDTR	DELLA protein 2 (MtDELLA2)	DELLA2 MtrunA17_Chr8g0376381	Medicago truncatula (Barrel medic) (Medicago tribuloides)	533	DELLA2	3880
A0A396IUP1	reviewed	DELA1_MEDTR	DELLA protein 1 (MtDELLA1)	DELLA1 MTR_3g065980 MtrunA17_Chr3g0110971	Medicago truncatula (Barrel medic) (Medicago tribuloides)	594	DELLA1	3880
A0A8I3S724	reviewed	AURKA_CANLF	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	Canis lupus familiaris (Dog) (Canis familiaris)	405	AURKA	9615
A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052	UBA6	9606
A0JPN4	reviewed	ZC12A_RAT	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	Zc3h12a	Rattus norvegicus (Rat)	596	Zc3h12a	10116
A0JPQ4	reviewed	TRI72_RAT	Tripartite motif-containing protein 72 (Mitsugumin-53) (Mg53)	Trim72 Mg53	Rattus norvegicus (Rat)	477	Trim72	10116
A0MLS5	reviewed	BMAL1_HORSE	Basic helix-loop-helix ARNT-like protein 1 (Aryl hydrocarbon receptor nuclear translocator-like protein 1) (Brain and muscle ARNT-like 1)	BMAL1 ARNTL	Equus caballus (Horse)	626	BMAL1	9796
A0QZ48	reviewed	PUP_MYCS2	Prokaryotic ubiquitin-like protein Pup (Bacterial ubiquitin-like modifier)	pup prcS MSMEG_3896 MSMEI_3806	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	64	pup	246196
A0QZ49	reviewed	DOP_MYCS2	Pup deamidase/depupylase (EC 3.4.-.-) (EC 3.5.1.119) (Deamidase of protein Pup)	dop MSMEG_3897 MSMEI_3807	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	498	dop	246196
A1A4I9	reviewed	UFL1_BOVIN	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1)	UFL1	Bos taurus (Bovine)	792	UFL1	9913
A1A4K3	reviewed	DDB1_BOVIN	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	DDB1	Bos taurus (Bovine)	1140	DDB1	9913
A1L190	reviewed	SYCE3_HUMAN	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	SYCE3 C22orf41 THEG2	Homo sapiens (Human)	88	SYCE3	9606
A1YG22	reviewed	MYC_PANPA	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Pan paniscus (Pygmy chimpanzee) (Bonobo)	439	MYC	9597
A1Z198	reviewed	NL1B2_MOUSE	NACHT, LRR and PYD domains-containing protein 1b allele 2 (EC 3.4.-.-) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1b, C-terminus (Nlrp1b1-CT); NACHT, LRR and PYD domains-containing protein 1b, N-terminus (Nlrp1b1-NT)]	Nlrp1b Nalp1b	Mus musculus (Mouse)	1177	Nlrp1b	10090
A1Z6E0	reviewed	GUS_DROME	Protein gustavus	gus CG2944	Drosophila melanogaster (Fruit fly)	279	gus	7227
A2A432	reviewed	CUL4B_MOUSE	Cullin-4B (CUL-4B)	Cul4b Kiaa0695	Mus musculus (Mouse)	970	Cul4b	10090
A2A5Z6	reviewed	SMUF2_MOUSE	E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	Smurf2	Mus musculus (Mouse)	748	Smurf2	10090
A2A6Q5	reviewed	CDC27_MOUSE	Cell division cycle protein 27 homolog	Cdc27	Mus musculus (Mouse)	825	Cdc27	10090
A2A7Q9	reviewed	RN19B_MOUSE	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	Rnf19b Ibrdc3 Nklam	Mus musculus (Mouse)	732	Rnf19b	10090
A2AH22	reviewed	AMRA1_MOUSE	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1 Kiaa1736	Mus musculus (Mouse)	1300	Ambra1	10090
A2AN08	reviewed	UBR4_MOUSE	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Zinc finger UBR1-type protein 1) (p600)	Ubr4 Kiaa0462 Zubr1	Mus musculus (Mouse)	5180	Ubr4	10090
A2AUC9	reviewed	KLH41_MOUSE	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	Klhl41 Kbtbd10	Mus musculus (Mouse)	606	Klhl41	10090
A2AWP0	reviewed	BIRC7_MOUSE	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Livin) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30 kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Birc7 Livin	Mus musculus (Mouse)	285	Birc7	10090
A2Q0Z0	reviewed	EF1A1_HORSE	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	EEF1A1	Equus caballus (Horse)	462	EEF1A1	9796
A2T7L5	reviewed	MYC_PONPY	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Pongo pygmaeus (Bornean orangutan)	439	MYC	9600
A2VDP1	reviewed	BRE1A_BOVIN	E3 ubiquitin-protein ligase BRE1A (BRE1-A) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)	RNF20 BRE1A	Bos taurus (Bovine)	975	RNF20	9913
A2VDZ4	reviewed	PLK4_BOVIN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase Sak)	PLK4 SAK	Bos taurus (Bovine)	893	PLK4	9913
A3KPW9	reviewed	BAG6_DANRE	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	Bag6 Bat3 si:ch211-215a10.6	Danio rerio (Zebrafish) (Brachydanio rerio)	1160	Bag6	7955
A4IH17	reviewed	BAG6_XENTR	Large proline-rich protein bag6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	Bag6 bat3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	1129	Bag6	8364
A4L7N3	reviewed	FOXO1_PIG	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	FOXO1 FOXO1A	Sus scrofa (Pig)	662	FOXO1	9823
A5D7F8	reviewed	SH3R1_BOVIN	E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (Protein POSH) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1)	SH3RF1 POSH POSH1	Bos taurus (Bovine)	840	SH3RF1	9913
A5D8S5	reviewed	SH3R1_DANRE	E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (Protein POSH) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1)	sh3rf1 posh si:dkey-15j16.4	Danio rerio (Zebrafish) (Brachydanio rerio)	867	sh3rf1	7955
A5D9M6	reviewed	BAG6_PIG	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	BAG6 BAT3	Sus scrofa (Pig)	1128	BAG6	9823
A5GFW1	reviewed	AURKA_PIG	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	Sus scrofa (Pig)	402	AURKA	9823
A5LHX3	reviewed	PSB11_HUMAN	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	PSMB11	Homo sapiens (Human)	300	PSMB11	9606
A5PJS6	reviewed	UBP10_BOVIN	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10	Bos taurus (Bovine)	800	USP10	9913
A6QLE5	reviewed	NLRP3_BOVIN	NACHT, LRR and PYD domains-containing protein 3 (EC 3.6.4.-)	NLRP3	Bos taurus (Bovine)	1031	NLRP3	9913
A6QQJ8	reviewed	ZC12A_BOVIN	Ribonuclease ZC3H12A (EC 3.1.-.-) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A	Bos taurus (Bovine)	583	ZC3H12A	9913
A6XKM2	reviewed	CXA1_URSAM	Gap junction alpha-1 protein (Connexin-43) (Cx43)	GJA1	Ursus americanus (American black bear) (Euarctos americanus)	382	GJA1	9643
A6ZXH8	reviewed	ATG9_YEAS7	Autophagy-related protein 9 (Cytoplasm to vacuole targeting protein 7)	ATG9 APG9 AUT9 CVT7 SCY_0766	Saccharomyces cerevisiae (strain YJM789) (Baker's yeast)	997	ATG9	307796
A7DTF0	reviewed	MRG1_CAEEL	Mortality factor related protein 1	mrg-1 Y37D8A.9	Caenorhabditis elegans	337	mrg-1	6239
A7E2V4	reviewed	ZSWM8_HUMAN	Zinc finger SWIM domain-containing protein 8	ZSWIM8 KIAA0913	Homo sapiens (Human)	1837	ZSWIM8	9606
A7E320	reviewed	UHRF1_BOVIN	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase UHRF1) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)	UHRF1	Bos taurus (Bovine)	786	UHRF1	9913
A7F0W2	reviewed	ATG1_SCLS1	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1)	ATG1 SS1G_11231	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	951	ATG1	665079
A7X5R6	reviewed	BAG6_ORNAN	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	BAG6 BAT3	Ornithorhynchus anatinus (Duckbill platypus)	1088	BAG6	9258
A7XUJ6	reviewed	TRAF6_PIG	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	TRAF6	Sus scrofa (Pig)	541	TRAF6	9823
A8R7E6	reviewed	CERK1_ARATH	Chitin elicitor receptor kinase 1 (AtCERK1) (EC 2.7.11.1) (LysM domain receptor-like kinase 1) (LysM RLK1) (LysM-containing receptor-like kinase 1)	CERK1 LYK1 RLK1 At3g21630 MIL23.20	Arabidopsis thaliana (Mouse-ear cress)	617	CERK1	3702
A9ULR9	reviewed	BACD1_DANRE	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 (BTB/POZ domain-containing protein KCTD13)	kctd13	Danio rerio (Zebrafish) (Brachydanio rerio)	330	kctd13	7955
A9X1D0	reviewed	SETD3_PAPAN	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	SETD3	Papio anubis (Olive baboon)	595	SETD3	9555
B0FPE9	reviewed	NLRP3_MACMU	NACHT, LRR and PYD domains-containing protein 3 (EC 3.6.4.-)	NLRP3	Macaca mulatta (Rhesus macaque)	1035	NLRP3	9544
B1AQJ2	reviewed	UBP36_MOUSE	Ubiquitin carboxyl-terminal hydrolase 36 (EC 2.3.2.-) (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36)	Usp36 Kiaa1453	Mus musculus (Mouse)	1098	Usp36	10090
B1AXD8	reviewed	AKIR2_MOUSE	Akirin-2	Akirin2	Mus musculus (Mouse)	201	Akirin2	10090
B1H1X1	reviewed	FXL17_XENLA	F-box/LRR-repeat protein 17 (F-box and leucine-rich repeat protein 17)	fbxl17	Xenopus laevis (African clawed frog)	673	fbxl17	8355
B1H278	reviewed	TRI11_RAT	E3 ubiquitin-protein ligase TRIM11 (EC 2.3.2.27) (Tripartite motif-containing protein 11)	Trim11	Rattus norvegicus (Rat)	467	Trim11	10116
B2GUY1	reviewed	PLK4_RAT	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase Sak)	Plk4 Sak	Rattus norvegicus (Rat)	924	Plk4	10116
B2GV24	reviewed	UFL1_RAT	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Regulator of C53/LZAP and DDRGK1)	Ufl1 Maxer Rcad	Rattus norvegicus (Rat)	793	Ufl1	10116
B2RWS6	reviewed	EP300_MOUSE	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	Ep300 P300	Mus musculus (Mouse)	2412	Ep300	10090
B5DEI4	reviewed	UBE2W_RAT	Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.25) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.23) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-protein ligase W)	Ube2w	Rattus norvegicus (Rat)	151	Ube2w	10116
B5DF45	reviewed	TRAF6_RAT	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	Traf6	Rattus norvegicus (Rat)	530	Traf6	10116
B5DF89	reviewed	CUL3_RAT	Cullin-3	Cul3	Rattus norvegicus (Rat)	768	Cul3	10116
B5DFG1	reviewed	PINK1_RAT	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (PTEN-induced putative kinase 1)	Pink1	Rattus norvegicus (Rat)	580	Pink1	10116
B5DFI8	reviewed	UBE2S_RAT	Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (Ubiquitin carrier protein S) (Ubiquitin-protein ligase S)	Ube2s	Rattus norvegicus (Rat)	223	Ube2s	10116
B5KM66	reviewed	SYCE3_MOUSE	Synaptonemal complex central element protein 3 (Testis-specific expressed protein 2) (TSEG-2)	Syce3 Tseg2	Mus musculus (Mouse)	88	Syce3	10090
B6CJY4	reviewed	TRAF6_CERAT	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	TRAF6	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	522	TRAF6	9531
B6CJY5	reviewed	TRAF6_MACMU	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	TRAF6	Macaca mulatta (Rhesus macaque)	522	TRAF6	9544
B6V8E6	reviewed	CTNB1_CANLF	Catenin beta-1 (Beta-catenin)	CTNNB1	Canis lupus familiaris (Dog) (Canis familiaris)	781	CTNNB1	9615
B8XIA5	reviewed	MYC_MACMU	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Macaca mulatta (Rhesus macaque)	454	MYC	9544
C1ITJ8	reviewed	HMR1_BOVIN	Major histocompatibility complex class I-related gene protein (MHC class I-related gene protein) (Class I histocompatibility antigen-like protein)	MR1	Bos taurus (Bovine)	336	MR1	9913
C5H431	reviewed	POLG_WSLV	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Non-structural protein 2A-alpha (NS2A-alpha); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Wesselsbron virus (WSLV)	3405		164416
C8XPA8	reviewed	POLG_BANV	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Non-structural protein 2A-alpha (NS2A-alpha); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Banzi virus (BANV)	3393		38837
C8XPB2	reviewed	POLG_EHV	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Non-structural protein 2A-alpha (NS2A-alpha); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Edge Hill virus (EHV)	3401		64296
C9JR72	reviewed	KBTBD_HUMAN	Kelch repeat and BTB domain-containing protein 13	KBTBD13	Homo sapiens (Human)	458	KBTBD13	9606
D0NPN8	reviewed	A3AEM_PHYIT	RxLR effector protein Avr3a (Avirulence protein 3a)	Avr3a Avr3a(EM) Pex147 PexRD7 PITG_14371	Phytophthora infestans (strain T30-4) (Potato late blight agent)	147	Avr3a	403677
D2HBJ8	reviewed	UBP44_AILME	Ubiquitin carboxyl-terminal hydrolase 44 (EC 3.4.19.12) (Deubiquitinating enzyme 44) (Ubiquitin thioesterase 44) (Ubiquitin-specific-processing protease 44)	USP44 PANDA_007904	Ailuropoda melanoleuca (Giant panda)	711	USP44	9646
D2HEW7	reviewed	KLH22_AILME	Kelch-like protein 22	KLHL22 PANDA_009375	Ailuropoda melanoleuca (Giant panda)	634	KLHL22	9646
D2HWM5	reviewed	RFWD3_AILME	E3 ubiquitin-protein ligase RFWD3 (EC 2.3.2.27) (RING finger and WD repeat domain-containing protein 3) (RING finger protein 201)	RFWD3 RNF201 PANDA_016934	Ailuropoda melanoleuca (Giant panda)	773	RFWD3	9646
D3YYI7	reviewed	RN217_MOUSE	E3 ubiquitin-protein ligase RNF217 (EC 2.3.2.31) (IBR domain-containing protein 1) (RING finger protein 217)	Rnf217 Ibrdc1	Mus musculus (Mouse)	515	Rnf217	10090
D3Z902	reviewed	FBXW7_RAT	F-box/WD repeat-containing protein 7	Fbxw7	Rattus norvegicus (Rat)	713	Fbxw7	10116
D3Z9H7	reviewed	NFAC4_RAT	Nuclear factor of activated T-cells, cytoplasmic 4 (NF-ATc4) (NFATc4) (T-cell transcription factor NFAT3) (NF-AT3)	Nfatc4 Nfat3	Rattus norvegicus (Rat)	901	Nfatc4	10116
D3ZDI6	reviewed	MYLIP_RAT	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	Mylip	Rattus norvegicus (Rat)	445	Mylip	10116
D3ZDK2	reviewed	UB2D1_RAT	Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1)	Ube2d1	Rattus norvegicus (Rat)	147	Ube2d1	10116
D3ZEF4	reviewed	CUL7_RAT	Cullin-7 (CUL-7)	Cul7	Rattus norvegicus (Rat)	1692	Cul7	10116
D3ZID8	reviewed	UBX2A_RAT	UBX domain-containing protein 2A (UBX domain protein 2A)	Ubxn2a	Rattus norvegicus (Rat)	258	Ubxn2a	10116
D3ZJ96	reviewed	UBP28_RAT	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	Usp28	Rattus norvegicus (Rat)	1083	Usp28	10116
D3ZQL7	reviewed	TPPP_RAT	Tubulin polymerization-promoting protein (TPPP) (EC 3.6.5.-) (25 kDa brain-specific protein) (TPPP/p25) (p25-alpha)	Tppp	Rattus norvegicus (Rat)	218	Tppp	10116
D3ZS74	reviewed	OMA1_RAT	Metalloendopeptidase OMA1, mitochondrial (EC 3.4.24.-) (Overlapping with the m-AAA protease 1 homolog)	Oma1	Rattus norvegicus (Rat)	504	Oma1	10116
D3ZVM4	reviewed	LIN41_RAT	E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)	Trim71 Lin41	Rattus norvegicus (Rat)	855	Trim71	10116
D3ZZC3	reviewed	KLH22_RAT	Kelch-like protein 22	Klhl22	Rattus norvegicus (Rat)	634	Klhl22	10116
