Protein.Group	Columns can be as numerous as you want and contain whatever you want.	As long as there is a "Protein.Group" -column, and sample columns that match the sample table exactly.	6136_sample1_replicate1	6135_sample1_replicate2	6137_sample1_replicate3	6127_sample2_replicate1	6128_sample2_replicate2	6129_sample2_replicate3	sample3_replicate1	sample3_replicate2	sample3_replicate3	these_samples_without_sample_group_will_not_be_loaded	sample_without_sample_group_2	sample_without_sample_group_3
Q5MIZ7			12939.7	14600.7	15776.1	12332.4	12990.4	13219.2	14231.3	15844.7	19121.9	15867.7	19358.9	17832.6
Q5VXU1			16267.1	14977.3	12002.5	16954.4	17466.5	16195	25964.3	19752.2	14748.6	21726.2	23621.3	11438.2
P16104			14816.1	15616.3	14375.9	13464.7	14543.9	13244	13706.3	14152	13958.7	14943.2	13940.3	13902.2
P01721			9987.13	9566.35	8625.76	10921.4	12663.5	11142.2	10534.5	9988.7	11196.4	11932.7	11568	12345.2
Q8N5Q1			7073.35	4562.38	4484.96	5153.75	5791.51	5196.15	4755.29	4917.48	5197.88	5130.48	5028.58	4649.05
P13994			13848.7	13132.2	13496.6	16195	13671.6	15699.6	15555.5	15358.4	17484.8	16790.8	17492.6	17586.9
Q96BX8			22920	32353.6	27741.3	27987.1	28071	32082	26071.1	28123.2	40103.6	34160.8	38372.2	33566.3
A0A0U1RRI6			1052.13	1158.24	1418.82	1554.82	2013.89	1891.45	1860.48	1655.82	2040.51	2158.49	2353.21	1778.94
Q96GE6			1071.13	2256.61		937.974	1255.22	899.732	1756.44	1390.4	775.694	1146.05	1327.64	738.208
Q9Y5G1			16729.9	15234.4	14966.8	20535.2	19976.8	20244.6	22009.3	20877.7	20102.6	21492.8	22479.7	20667.7
Q9H9Y4			12208.7	8128.46	7677.22	11180	11206.1	10283.9	13528.6	12206	12960.7	11974.1	13089.9	11478.8
Q9BUT9			9262.98			10015.2	8399.72		9564.93	8321.92	7953	10608	7261.92	7455.34
Q9NVX2			11046.4	11500.2	12038.5	9549.73	11391.6	11238.4	10755.9	12557.8	11509.4	13536.9	12711.2	13508
Q9H410				1773.81		1964.82	1860	2835.06	2793.73	2933.3	3087.75	3063.07	3226.95	2608.59
Q15545			1285.49			2598.97				1737	1594.25		1708.9	
P54760			7553.37		9037.09	9038.84	9793.62	10713.1	7315.72	8665.29				
Q9HA65			17084.7	15388.9	18423.1	23015.6	20163.5	22063.5	23513.3	22470.3	23851.5	22280.4	24218.5	23695.3
Q8WUE5			5327.91	2899.13	4516.88	3261.37	1833.64	3289.36	2484.57	3115.48	3022.6	2642.15	3375.86	3076.33
Q8WYK1			8273.81	7643.13	7520.46	5689.18	7584.28	7109.12	6321.09	6779.05	6696.25	6849.58	6728.92	6689.37
O60337			1803.12	1368.46	2134.02	2415.37	1770.49	2036.45	2119.05	2031.03	1960.79	1918.83	2181.45	1872.39
P35452			11662.2	10383.1	11531	16642.9	14652.6	15808.9	16554.3	16028.7	16141.2	14035.5	15574.5	15926.9
Q8IU89			13244.1	9809.55	10356.4	11308.2	10900.9	12207	7965.4	9532.16	9025.88	9125.84	10233.3	7300.31
P46531				11136.2	9723.75	14313	8437.2	8673.13	9879.77	11927.3	9275.53	9700.59	8671.75	7604.38
A0A0C4DH26			11895.7	11017.5	11789.8	14625.5	16591.6	15112	14020.3	14546.7	16498.3	13063.7	15012.7	14110.4
A0A1B0GX78			9691.63	7942.99	8737.74	12088.8	11315.7	10694.6	10755.5	10408.2	10281.6	10560	10174.3	8692.93
Q58FF3					5426.07								3314.09	4143.95
Q9NZP8			25085.9	21098.9	26261.2	26994.6	20748	21235	28461.5	27326.2	29726.8	29635.1	31223.3	33287.9
A0A0B4J1V6					347.538	478.948	477.257		582.346	365.737	772.825	583.467	308.142	769.442
P26651			3582.18			1925.42		2128.86	1215.54	1720.85	2219.46	1530.57	2186.43	2041.55
A4D256						1479.04	1290.73	1741.73	2035.22	1417.52	1361.43	2208.12	2299.13	3436.42
P21359			1970.62	2787.5	2396.16	2116.01	1362	2193.01	3406.56	3410.34	3536.59	3399.82	3275.57	4363.14
D6RBQ6			8511.21	8198.13	6889.32	7818.35	8157.79	8043.58	8891.17	8502.61	9621.03	9438.14	9800.56	9490.77
P0C7N5			41998.5	42147.9	36907.3	37072.9	34656.1	32513.7	38316.7	37773.5	34891.9	37321.4	34714.4	38464.2
Q9C0B1			5938.92	5100.31	5846.18	7923.28	7762.76	9055.11	8865.43	8269.75	7998.3	6803.47	6308.28	5681.94
Q16526			37032.4	35683.9	40141.4	35106.7	34350.1	36994.3	36958.7	38206.2	35818.1	41409.4	44757.4	37700.5
C9JC47			26857.8	26048.5	25613.4	25834.3	24667.7	23500.6	26839.9	26672.8	26736.9	25985.3	27088.1	27687.6
Q8WW12			11703.7	10296.5	11166.1	10384	10387.7	11298.6	13365	13338.9	12828.4	14156.6	14594.1	14795.2
Q9UDX4			2997.32	2956.74	1637.67	2259.29	2010.54	2924.9	2229.66	3044.48	2799.75	3397.68	2371.16	3614.1
Q8IWU9			1986.6	2964.47	3163.85	1493.89	1485.2	1485.71	2523.14	3142.93	3054.14	3828.1	4459.54	4265.95
O00453			4867.78	2579.06	2062.38	1988.81	1677.76	2798.91	2901.99	3254.27	3032.5	2950.85	2613.78	2828.95
P0DMU9			8285.29	8351.13	8360.89	8345.95	8021.22	8180.98	6427.55	6201.63	7024.19	7564.24	6596.88	6578.2
Q9UBY5			11192	10484.6	11564.1	10560.7	8939.83	8777.88	11319.6	11721.2	12620.7	12335.5	12632.9	11140.4
P08865				1437.37		591.575			1173.32		741.459	745.37		
O60831			12314	16412.4	16261	11480.7	11631.4	12408	12040.9	12367.5	12932.8	12727.6	11934.1	12872.9
O75934			15800.6	13268.2	11651.1	15794.6	13475.6	14763.6	21382.2	20064	23652.8	27155.1	26246.3	25219.1
O43345			7298.64	5698.03	6734.36	7235.33	8042.72	6452.81	7938.53	8621.01	8547.97	8610.9	6419.15	7972.78
Q8NHP8			1429.64	1312.74	1292.15	350.666		1896.66	870.027	806.256	1261.16	917.815		793.722
A6NDX5			3575.35	2931.49	3010.47	3453.23	3203.77	3581.79	4011.23	3821.62	4892.42	4090.14	4607.29	4359.14
O60551			1351.54	1743.97						502.025	1296.64	1403.26	954.513	530.619
Q8N9Y4			38074.8	40542.8	38702.3	29077.9	30713.4	33744.8	30481.3	29986.4	31652.4	33698.1	32579.8	32583.2
Q1X8D7			5983.45	3523.66	4964.02	5359.23	8285.85	6873.65	5520.1	6882.5	4377.13	4141.58	3482.71	3639.07
P26583			6367.76	5913.14	5453.38	6578.6	6263.17	7057.06	7298	6447.5	7227.39	7937.59	8450.41	8244.84
O75712			2602.96	2668.06					3448.55	4187.9	3279.56	2591.3	4147.83	3904.3
Q9UID6			4248.7	2928.83	4074.39	3748.34	4251.8	2753.7	3207.73	2896.14	2615.64	3303.44	2796.19	4729.54
Q9NVI1			160677	181657	186975	198771	211556	175395	223450	215534	219086	218207	231692	241459
Q9NZL3			11583.9	6400.13	7291.99	10699.3	11167.8	9934.66	13126.9	10246.8	8286.7	12463.4	14837.7	11969.8
Q9BXW4			2.22E+06	275718	210383	2.54E+06	1.03E+06	1.34E+06	525910	395536	264940	271908	212830	185395
Q16384			39837.9	52325	43558.1	56259.8	43752.4	55060.2	43901.8	40370.4	45678.4	51588.5	50489.7	47251
A0A1B0GTU2			60616.4	67539.7	71534.7	109133	97654.9	98847.4	111371	109629	115138	123626	117111	116441
Q86V88			10051.2	12871.8	11927.7	9227.15	9743.56	7767.89	9922.4	11196.3	11609.6	10617.7	11272	10881.1
Q9NVL1			6677.75	7810.81	8091.05	6499	8158.38	7067.89	6418.02	6700.65	6996.55	6624.32	6644.34	6607.19
P23677			24005.6	18499.7	21462.8	20587.5	19601.2	16964.4	22350.4	20480.2	22496.1	21378.4	24208.3	20433
Q68G75			3450.03	3509.93	3126.95	3970.57	3836.04	3228.92	4409.09	3831.84	3983.8	4446.89	3458	4002.84
P28799			21720.4	21655.4	19750.2	18752.9	18301.3	19008.9	17339.3	16727.2	16912.6	16504.4	16605.7	17092.9
Q92583			2272.56	1415.97	2958.38	1441.52	2939.25	2135.62	1403.15	2375.27	1904.92	2419.11	2733.71	2258.63
C9J6K1			2813.63	4265.19	3574.5	3475.95	3703.02	3330.71	2672.12	3311.69	3465.04	2753.04	2872.69	2973.86
Q6P582			6943.43	8344.53	8572.53	8550.33	8159.42	7911.57	9830.27	9626.88	10064.3	9310.12	10039.1	10084
P12273			6429.24	6929.15	7901.23	5834.15	5591.12	5695.53	5276.43	5719.16	6242.25	6042.87	7384.99	6698.75
Q8N109			9026.43	10518.5	9342.32	12011.7	9809.74	10503.9	7603.67	7581.28	8659.04	10633.7	9997.09	6664.63
Q7RTP0			4959	3714.78		2336.55	2542.2	2617.05	3269.91	4046.61	4908.26	4607.01	3443.54	4545.74
Q5TA78			6139.89	6267.62	6165.07	6052.33	7453.56	6643.82	7827.49	6628.06	6476.4	7489.19	7104.5	7197.45
P24298			2153.93	1749.06	2329.66	2363.45	1847.27	2322.6	2244.87	2126.55	2903.87	2073.93	2196.71	2819.36
Q96A83			14153.4	14113.6	13720.9	13844.4	14069	16332.9	17615.2	18193.1	18604.2	17931.8	18612.5	19166.4
Q8NG99			53138.2	50751.6	51444.5	32470.1	37251.9	41234.5	35650.4	36536.3	33254.8	35168.6	33403.4	34506.8
P07237			5623.54	4507.82	3637.68	3967.22	4235.96	4082.67	2306.8		3030.94		5848	
Q6DCA0			242361	238975	238773	187185	192236	196657	169920	164957	168685	166517	159769	164732
Q5VZV1			5260.68	4927.96	7373.52		7014.84	8339.21	4931.18	7670.46	4954.62	5660.6	5461.6	6482.6
A6NF34			2954.33	1755.62	1809.26	2003.89	1211.72	1609.04	1749.13	1660.18	1859.42	1513.64	1413.62	781.608
Q9H2S1			17854	17243.7	16321.1	18011.8	17820.2	18986	13038	11502.1	12534.9	10337.4	12001.6	9594.43
Q8WVF5			4762.63		4730.6	11111.2	7535.15	5945.56	4185.89	5553.7	5186.49	4156.62	2900.25	3494.89
A6NGD5			466961	592043	496088	467391	477427	527918	548223	493673	484554	438883	379569	393906
C9J3V5			4674.17	5645.35	5534.01	5106.35	4742.54	2988.52	3941.13	5373.09	4806.62	4669.76	4636.7	5676.84
P45378			18573.9	17964.3	17880.4	14871.1	13651.8	15922.7	14358.9	14755	16140.6	15860.9	14466.3	17026.7
Q2M1Z3									1117.87	1032.22	1164.56		1076.57	655.435
Q969Y0			31498.9	34728.9	33363.5	29312.3	28792.8	32270.7	27215	27435.9	28174.3	29300.5	28698.5	29673.9
Q3ZCQ8			7879	7717.97	8538.34	9212.69	9009.94	8731.82	8994.43	8684.56	8706.53	9298.19	8995.52	8935.74
Q32M78			9668.13	13173.9	11001.7	13646.4	11617.3	12213.5	12091.4	12772	10240.2	11611.5	12824.9	11113.4
P80303			8300.25	9216.12	9609.08	10288.7	10691.5	10659.8	10019.6	10287	10059.9	9732.5	9967.38	8476.4
Q6U949			4968.84	5825.58	5379.98	4791.82	4519.96	4243.04	4454.95	5402.75	5633.69	6553.33	5537.3	5346.4
P32519			17755.2	16260.4	16877.2	16148.5	12691	14000.6	13582.5	12058.5	14133.3	14241.3	14418.8	11871.3
P48147			54367.4	59498.7	55541.1	44993.4	39626.2	37353.6	41557.1	40356.8	42326.3	36899.2	39840.8	38310.5
Q96A00			4620.72	3145.31	2962.54	3734.64	2882.79	2154.65	2634.3	3531.64	2812.76	2098.88	2156.55	2087.21
Q9Y3S1			4226.85	4403.96	3589.97	4599.37	4880.79	4382.1	5048.65	4730.48	5242.95	5473.98	5036.33	4318.41
Q8NDB2			17225	16716	17032.9	12391.5	12936	11930.3	11078.8	10388.9	11798.7	10619	9721.3	10126.2
Q96SF2			76182.7	74463	71487.8	70215.5	69436	70979.7	67381.7	67106.5	62847.4	62079.4	58011	64450.7
Q15848									2371.65	2289.06	2267.38	2480.31	2284.34	3271.17
Q969W1			9341.38	9709.96	7919.48	5616.98	6109.02	5732.89	4898	4802.3	4943.54	5212.04	5783.58	5527.27
Q8IVH2			1423.16	1664.38	1434.35	1467.74	1348.69	1740.23	1472.35	1197.08	2084.07	1699.15	1605.43	1559.19
O95502			3207.19	3633.05	3353.12	2792.69	3075.31	2803.93	2285.64	2224.23	2140.97	2336.47	2386	2563.64
Q08380			6506.66	5888.85	6263.09	4360.74	6014.38	5480.22	3978.24	4541.26	5988.22	5446.93	4696.43	5391.17
Q9Y4L5			99166.4	104155	100240	112298	114035	117193	125739	122685	124508	139087	130934	130675
Q92633			5984.59	5947.73	4949.85	8048.51	8192.01	6994.2	7741.35	7187	5551.74	6033.43	6635.04	3475.04
P60673			3151.15	3029.98	3033.51	3232.98	2990.73	3484.72	3118.14	2727.36	3440.59	2642.87	2246.15	2405.25
Q8TEY7			2931.12	2162.06	3255.2	1300.55	2948.31	1864.05	2419.04	1770.77	2034.65	2269.12	2249	2058.96
Q59GN2			14434.1		12971.4				14577.4		11697	9057.25		12557.4
Q53R41			6580.87	8178.66	5956.75	14160.2	9976.37	11586	7632.43	5327.62	5970.91	7393.83	5532.53	5446.1
Q8N9Z9			5660.76	4623.39	3963.45	6270.64	5655.68	6301.07	5654.21	5891.14	5119.97	5466.39	5403.43	5847.73
Q96JB1			5150.17	5104.46	5865.07	6468.45	6673.64	6572.1	7568.57	6968.37	7728.85	7023.33	6706.48	7066.55
O15444			7033.58	8819.1	7789.03	3653.15	5060.73	2383.26	3134.8	4213.4	5081.84	4174.02	5852.92	6022.37
P11844			1827.8	874.245	2313.11				1120.68		2119.78	3352.89	2635.74	2109.98
Q96MF0			11598.2	9970.93	8855.93	18136.9	16887.8	17395.2	13318.5	16085.7	13823.5	12921.1	11396.7	7474.69
P0CG48			3683.36	3943.57	4521.05	3880.06	3820.3	3853.2	2929.3	2717.88	3674.4	3315.9	2811.53	1608.61
P04211			3925.9	5014.4	4184.21	2468.32	4894.14	3881.34	4898.55	5872.58	5576.85	7109.81	7802.32	7496.5
Q96P63			4916.52	5682.48		6107.13	5713.16	6187.06	8306.42	6983.95	7269.65	7525.74	7530.97	8302.84
O60308			3249.87	3307.42	2572.11	2336.24		2059.94	1386.26	2668.26	1789.96	1059.79		1735.43
P04818			1827.91	1646.56	1913.04	1611.63	1657.28		1488.9	1481.63	1645.4	1883.65	1703.35	1652.79
Q96S96			4091.18	3596.64	2685.78	4093.13	3763.92	3265.28	4624.07	5115.71	3640.83	3489.62	3870.98	4051.84
Q6ZMJ4			23521.2	22143.9	21581.5	28085.2	28257.4	27119.6	32078.4	33170.7	31757	34749.3	34601.2	34635.6
P59025			7049.39	9294.69	9855.51	13468.5	12588.5	9314.65	9575.33	11006.7	9139.02	9025.17	10670.6	8391.32
B7ZAP0			21107.9	20973.4	19623.4	23959.1	24511.1	25265.2	30397	32001.6	29793.1	31316	31413.7	29797.3
Q15050			4776.68	5887.62	5851.39	2874.66	5436.39	3589.91	4864.29	6666.22	5552.08	5874.22	4780.3	7225.28
Q8N6V9			2931.75	2071		2170.45	2470.64	2520.89	1249.16	2114.85	2136.44	1171.3	2452.6	2325.19
Q13621			7759.07	6560.54	5874.11	6187.95	7004.51	6060.36	7238.01	8125.64	8535.46	7967.3	8655.34	9556.69
Q9Y3B6				4064.06	2222.34	4570.18	3747.76	3833.06	4708.73	4097.84	3836.77		4141.5	3484.53
Q9HBW9			908.804	1426.17	1292.45			1509.29			1024.74	874.511	1129.63	1488.86
Q9NY61			2946.87	5528.17	3955.44	4924.41	3975.87	3877.33	2675.4	2677.12	3125.47	3049.21	3867.68	2127.6
Q07912			8572.22	9834	11213.7	9056.03	10062.3	10417.1	8181.39	8891.87	8006.38	7362.9	8185.58	8395.47
Q8NAM6			13672.2	14541.9	15042.4	16981.1	18182	17995.3	19559.5	21539.3	22237.6	22297.8	21343.4	22142.4
Q8IYW4			2655.5	1946.46	2260.53	3418.28	3370.5	3530.88	2478.49	2720.15	2874.93	3386.31	3106.74	2686.73
Q13901			12492.1	11205	9928.17	8274.02	7483.07	7782.8	9453.61	8378.11	9717.78	9299.77	8773.51	9098.86
Q9BYH8			1160.98	1258.51	1170.27	2042.81			1216.57	1118.36	1466.33	1242.39	1384.95	1449.61
Q14527			7634.62	9668.33	9189.88	11106.9	9724.99	10846.5	9188.25	9123.13	9139.53	9432.29	9788.61	9103.16
Q8IX21			19508.7	20262.9	20351.6	23767.7	23728.9	20423.6	20476.7	26218.2	26903.7	24981	23808	24112.1
P20701			3754.06	2846.6	2726.84	2562.01	2655.22	2944.1	2932.56	3581.72	2817.24	3209.77	3231.4	3062.4
Q494W8			8801.21	7658.3	9372.53	11021.3	8997.16	9586.51	11837.7	12764.1	12447.1	11756.5	11736.5	10254.9
Q9UMQ6			33660.8	32164.6	32999.8	38624.3	35131.5	37806.5	36748.4	39549.5	40635.7	41559.4	41327.4	41187.6
B1ANY3			1985.67	2006.98	1610.42	2212.03	2185.42	2713.49	2294.93	1853.38	2792.12	2056.25	2036.59	2332.79
A6NF36			6368.3	6259.2	6715.53	4938.65	5477.97	5629.91	5857.91	6114.33	6322.78	6535.64	5695.94	6786.81
Q8NGR9			85693.3	87515.9	91535	94932.1	92327.1	98080.6	109463	108055	110792	113166	114006	112634
Q9UKV3			29845	31732.9	27820.6	48982.3	48781.3	54325.3	49073.2	45494.4	43859.4	39957.6	41150.1	30260.9
P05091			4945.45	6339.13	5841.06	5574.68	6677.06	4625.38	4567.87	5060.83	4410.82	3611.83	3615.05	4326.56
Q9P2S6			20717.1	21220.4	21600.2	16295.9	16374.8	16610.2	15264.7	15666.5	15610.7	14334	13495.4	14465.1
Q562F6			874.788	3028.11	3418.75	2501.89	1870.21	1129.13	2157.51	2242.16	2824.01	3666.79	3100.74	2865.29
Q9NSP4			39750.6	40297.3	39334.4	44193.5	45069.5	47604.6	47127.1	49551.8	47464.3	47136.5	46488	47553.8
A6NH52			12831	12381.9	12959.3	11422.1	12478.5	12050.2	12647.4	12959.2	13540.3	13754.3	12479.9	12292.9
P78362			4378.57	4944.68	4148.69	3714.98	4176	3861.19	5158.68	4845.5	5005	5178.63	5302.01	5781.81
Q2M2W7			14078.6	13587.3	15035.7	11443.7	10797.2	10488.8	12348.5	13025.6	11818.5	12870.3	12655.7	12824.3
Q9H4E5			5507.03	6028.84	5841.98	4960.08	6572.55	5253.81	4710.8	5282.5	5240.05	6231.34	4586.67	4562.68
Q9BZM3			124328	109192	105906	124896	123705	127683	143556	140933	139016	139700	142817	146154
O14874			119141	120148	117701	133200	123598	127918	134646	139166	140609	149036	136015	137450
Q86X51			82621.7	84536.5	90399.8	104131	103127	98700.8	117671	111036	113162	107559	109259	104310
Q96KN3			48787	61621.4	60143.3	66020	54727.6	72441.4	92065.4	82277.1	85621.6	92179	91434.1	98486.9
Q9NP90			1996.84	2048.22	2202.87	2855.37	1779.78	2055.66	2256.34	2141.54	2703.34	2195.05	2169.82	2691.6
O60941			655.308	336.759	948.011		614.419	221.935	380.749	650.437	512.144	515.586	310.169	518.629
Q5XKR4			41366.3	42757.8	43512	43710.8	42451.2	42676.7	46198.3	44718.2	44861.7	45858.8	45036.7	45075.6
Q16775			12949.2	13920.9	14637.3	12748.3	13499.3	14317.4	16001	14020.5	16593.2	16950.6	14933.6	14965.6
P09669			103522	113014	107399	122475	118912	127665	110959	118728	129964	116583	134812	141413
Q2VIR3			8132.91	6640.77	6206.08	6207.82	6968.93	6345.9	4611.03	4244	4541.06	4659.92	4445.26	3927.52
O43930			3718.35	3878.99	4202.83	4497.03	4419.28	3597.82	4628.69	5090.64	4643.52	4431.93	4521.32	4746.65
Q12851			28241	28000.6	28196.8	22464.8	23716.6	23069.9	23482.5	21392.5	23616.2	26670.9	27296.4	20804.7
P0C7V7			192809	58155.2	117732	237901	235482	235952	154069	190456	146781	126067	110132	91118.9
Q9NU22			58893.3	68919.9	67064.9		86097.8	84179.4	86877.3	89655.3	93499.2	91868.9	103251	69211.3
P51689			18720	20049.1	20127.5	26313.7	26844.5	25476.8	26162.5	27585.9	27919.3	27550.2	26542.1	26836.7
